"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"threat baseline run"
"03/25/2019 22:48:50:776 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"6","5","1","7480","0","489.6234636528402","100","17.815496911533156","6.000845815210903"
"8","7","1","5426","0","690.5905977953128","100","23.157217858782868","7.464573471611937"
"2","1","1","5739","3","130.46262500582722","100","15.582018055962886","7.727357116192809"
"4","3","1","9039","0","148.01078512095887","100","4.855943148699531","4.133951550517959"
"1","0","1","7776","0","289.9980173422209","100","9.610856480001967","7.9016105141442035"
"3","2","1","6423","1","748.7563375090543","100","6.115606723404989","4.659774242852143"
"9","8","1","5804","0","876.8814193316906","100","31.342126673699326","38.200219805056804"
"10","9","1","10076","6","705.9159952978672","100","23.723249187034927","14.448019636935971"
"11","10","1","7403","0","1311.879179506027","100","3.99524545902296","4.228979428577416"
"12","11","1","7486","0","659.5071592863142","100","13.904133861627074","3.5850432207743705"
"14","13","1","6591","4","310.5692564665211","100","21.47005742184521","11.58813391314254"
"13","12","1","6229","0","1333.8968643572493","90","104.11705730285696","57.73229555122559"
"7","6","1","6754","4","612.61161895855","100","39.849517898848035","30.130215872409064"
"18","17","1","4544","0","7.646620810120252","100","0.35845821323526267","0.22418800658204516"
"19","18","1","3794","1","471.79647390324135","100","6.833945837845195","5.132255342930073"
"17","16","1","4270","0","442.67511217407593","100","11.112810066934028","9.21528436399923"
"15","14","1","30000","2","1497.8722117878783","100","52.28814459040314","23.39056789657841"
"16","15","1","30000","0","2240.2767536900938","100","27.111367366605386","20.995548963984643"
"20","19","1","4778","0","204.2298503351944","100","15.067679360371478","7.735857395109639"
"21","20","1","3268","0","772.3264817205807","100","23.48331953780447","21.2466684885057"
"23","22","1","3367","0","395.84787702514495","100","12.317532566466038","6.938261892723405"
"25","24","1","3761","0","97.27176001278552","100","3.655616233374596","1.577049012878794"
"26","25","1","4327","3","446.852541614654","100","10.671084542540209","9.276428459391862"
"24","23","1","4268","0","760.5904622856821","100","17.89126875333823","11.814753743618073"
"22","21","1","5152","0","451.9755765065978","100","33.947952436370436","28.964467973035376"
"27","26","1","4652","0","208.81964692145112","100","6.660805065498753","4.6223037287073305"
"28","27","1","3504","0","194.9517123427877","100","2.6641572514327447","2.3877399369705667"
"30","29","1","3534","0","458.3968434685963","100","14.323006599500781","15.49180615982851"
"29","28","1","4261","0","1021.358475413904","100","46.3202774570562","37.12403371393339"
"31","30","1","3364","0","468.4209497168519","100","33.144857031756594","30.686226707083716"
"32","31","1","4188","2","468.6252371288322","100","48.08549140347025","25.79035798746006"
"33","32","1","4972","0","775.1910997759062","100","71.36070761422279","49.525833084612955"
