"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"2","0","15000","-14.75","-23.93027459029086","0.05","0","3502.5948197373514","10"
"3","0","15000","-14.05","-46.95408843236645","0.19","0","2500.0762526886047","38"
"8","0","15000","-14","-22.903580871162116","0.2","0","3748.1423173811445","40"
"6","0","10332","-8.982000000000001","-50.3077666258263","0.27","0","2796.595648838004","54"
"5","0","13239","-11.614","-24.62027020450551","0.325","0","3429.855033108928","65"
"1","0","7207","-5.657","-18.80417787623239","0.31","0","3364.2186615031887","62"
"7","0","15000","-13.775","-19.590673060510248","0.245","0","3210.7742148454854","49"
"4","0","15000","-14.35","-23.803413168831447","0.13","0","1605.2025380054315","26"
"9","0","7146","-5.871","-43.938695642769886","0.255","0","2977.973820186078","51"
"12","1","15000","-12.6","-21.470626486134663","0.48","0","2988.038005662333","96"
"10","0","14366","-13.841","-27.951041403666032","0.105","0","4488.358761615567","21"
"11","1","14841","-13.266","-25.67423621427193","0.315","0","3679.261766570457","63"
"13","1","8578","-6.503","-10.872080828249493","0.415","0","3080.2358470868307","83"
"17","1","15000","-14.225","-24.478651314356604","0.155","0","2979.72523595121","31"
"15","1","8641","-7.791","-15.502902183841801","0.17","0","3312.86068498646","34"
"14","1","13456","-12.756","-32.79458356746691","0.14","0","4474.5489399457065","28"
"18","1","15000","-10.8","-37.0345206487258","0.84","0","3221.677563603097","168"
"16","1","15000","-13.1","-46.98707681388421","0.38","0","2885.2989305801284","76"
"23","2","15000","-12.775","-17.502695028074434","0.445","0","4783.961305277058","89"
"19","1","15000","-13.375","-20.94211609765615","0.325","0","3519.325106685341","65"
"20","1","15000","-12.15","-33.27093104385947","0.57","0","3302.8925638181563","114"
"22","2","5083","-4.433","-38.90952575147412","0.13","0","2621.631675073507","26"
"21","2","15000","-12.15","-20.440602950926593","0.57","0","2508.2224398788976","114"
"24","2","5073","-2.1980000000000004","-7.695628123366987","0.575","0","475.4074901225214","115"
"25","2","5052","-4.351999999999999","-13.499371596759204","0.14","0","3003.3291713872177","28"
"26","2","15000","-13.6","-23.306226738138655","0.28","0","1496.6233867346216","56"
"27","2","5067","-3.0170000000000003","-7.981338221045598","0.41","0","1959.5812162352986","82"
"28","2","5062","-3.0120000000000005","-12.226433046230124","0.41","0","1074.924080664392","82"
"29","2","5063","-3.888","-14.269875806216232","0.235","0","1446.152536486356","47"
"31","3","2137","-0.08700000000000019","-7.177432376818745","0.41","0","855.9744636474768","82"
"30","2","5065","-1.6400000000000001","-5.139698904589514","0.685","0","694.3813087091712","137"
"32","3","2139","-0.5389999999999997","-8.095207451605933","0.32","0","1168.5298145293896","64"
"33","3","2091","-0.19100000000000028","-2.1993809910830473","0.58","1","223.39260869556725","116"
"34","3","2126","0.14900000000000002","-4.585046549482498","0.455","0","1729.6646206158453","91"
