,source-level,classification-threshold-std,classification-threshold-mean,sonar_ping_rate,uuv-speed,turn-radius,side_angle,side_hi_range,forward_angle,forward_hi_range,max-obs-dist,obs-influence,nav-bearing-std,nav-velocity-std-cm,current-heading,drift-speed
0,86,1.4,4,6,1.3,17.7,40,697,128,387.5,25.5,3.9,0.1,0.64,292,0.3
1,98,7.5,1,7,1.7,12.5,34,750,110,468.8,27.7,3,0.12,0.38,123,0.1
2,95,4.2,10,4,1.6,18.6,24,691,88,331.3,28,3.8,0.24,0.54,95,0.4
3,82,9,7,7,1.1,14.2,27,653,69,493.8,29.1,3.3,0.05,0.24,309,0.2
4,96,5.2,2,1,1.2,11.6,26,722,103,293.8,20.6,3.7,0.32,0.61,252,0.4
5,77,9.3,2,8,1.3,16.6,24,772,122,143.8,24.1,3.6,0.45,0.11,62,0
6,88,2.7,5,1,1.5,13.3,42,684,71,275,23.4,3.8,0.48,0.75,34,0.3
7,91,7.9,9,5,1.8,19.2,38,603,78,225,20.2,3.3,0.36,0.08,196,0.1
8,84,1.3,0,12,1.8,16.1,30,619,116,218.8,28.4,2.8,0.17,0.27,185,0.5
9,98,7.2,5,12,1,12.8,43,675,107,100,26.7,2.1,0.22,0.85,6,0.2
10,76,1.1,10,8,1.4,14.4,28,738,61,193.8,27.2,2.4,0.12,0.09,84,0.4
11,99,5.6,7,14,1.3,10.6,29,763,82,250,25.3,2.5,0.23,0.6,331,0.1
12,77,3,3,10,1.8,14.8,25,656,127,481.3,21.4,2.1,0.49,0.21,224,0.4
13,89,5.9,4,13,1.5,19.7,21,600,96,312.5,22.5,2.6,0.26,0.69,140,0.2
14,79,4,8,14,1.9,12.2,32,788,70,431.3,20,2.9,0.48,0.33,208,0.4
15,84,6.2,5,11,1.3,19.5,45,713,92,425,23.6,2.2,0.35,0.99,303,0.2
16,93,4.9,4,3,2.3,20,40,794,100,337.5,23.1,2.6,0.21,0.66,241,0.2
17,78,8.7,3,6,2.2,14.5,41,759,85,393.8,21.1,2,0.01,0.12,129,0.4
18,87,4.5,6,5,2.6,18.9,21,681,97,418.8,24.8,2.2,0.11,0.88,11,0.3
19,80,7.6,9,2,2.1,11.7,31,634,117,450,20.5,2.8,0.09,0.29,168,0.4
20,91,2.8,4,2,3,13.8,20,741,81,137.5,24.2,2.3,0.31,0.82,359,0.2
21,90,8.5,0,3,2,17,32,778,72,237.5,29.2,2.6,0.37,0.18,157,0.5
