"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"bubble field 5 horizontal"
"04/07/2019 20:20:35:435 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","1","5414","0","647.2613896276488","99","24.481444951481237","26.054735191189927"
"1","0","1","5888","0","518.2055349750933","100","17.07954710077376","8.37504820518449"
"3","2","1","5527","0","569.4959562100947","100","18.745655240364844","14.852394354375834"
"2","1","1","8795","4","1140.4282627964417","100","16.569963392023027","9.75124354891562"
"7","6","1","7609","2","30.144132924270586","100","1.0627787559851265","0.538966670706108"
"8","7","1","5795","0","73.19696276716584","100","5.043186794661094","2.5073525141527493"
"11","10","1","6521","0","300.10495854248","63","29.450946857808376","5.733733494292641"
"9","8","1","7748","0","1672.5851038414125","62","105.49948230013949","61.936493049075814"
"10","9","1","8362","0","912.8366544740147","100","20.99069067087927","19.01537530194011"
"12","11","1","7782","0","92.03038704555881","100","4.6455500891682115","3.9896332521597784"
"5","4","1","30000","0","1437.7546571591824","48","54.319710688556434","37.79727889197201"
"13","12","1","7364","0","1298.1742391117198","100","34.63189210809527","21.760796652575834"
"15","14","1","5110","0","222.9244065093766","100","17.385753987245288","7.189465052927078"
"18","17","1","5533","0","903.8494514641955","100","11.110820230083124","10.41223889982392"
"6","5","1","10653","0","1841.7516830071122","100","41.13660646392119","25.613455084263418"
"17","16","1","9986","0","807.4870179324945","99","18.411967277075263","8.88314908901163"
"19","18","1","7229","0","553.9330455838372","99","42.4554407414269","24.986712387526747"
"20","19","1","7848","0","516.2728618364428","100","32.17400982288963","35.57075137629897"
"14","13","1","30000","0","2293.473182069144","100","10.481908776910982","12.440009088185196"
"21","20","1","4859","0","28.6166496225246","95","2.436575418859618","1.5480477093912082"
"22","21","1","5452","0","35.45342593288725","100","1.2744479626142213","1.1220050027012236"
"23","22","1","5855","0","859.999261205802","78","68.69861463729352","36.29104150571454"
"25","24","1","6455","0","453.75064013929426","100","8.503854295550994","7.873845928393691"
"26","25","1","8516","1","59.978031409140236","100","2.2229216147164474","1.5862977059951768"
"27","26","1","9383","0","545.4040800272361","99","24.907682414176037","15.127633991213905"
"24","23","1","22217","9","1114.9401471780081","100","86.76302983178012","43.88555669511153"
"16","15","1","7482","0","672.6665141727613","100","16.34334619099541","16.087974896283615"
"28","27","1","8355","0","1272.155303716156","97","7.877461563947071","6.135227999011499"
"30","29","1","4847","0","438.95682654489093","100","5.446110119900656","5.288166645891755"
"29","28","1","5723","0","67.81589783292199","100","4.301637969097029","1.6561222451740332"
"31","30","1","8887","0","551.9908590788027","99","46.48783347227401","22.91300228277284"
"32","31","1","7532","0","608.0698511296281","100","34.18406692871626","35.64738091337157"
"33","32","1","4634","0","370.2036730309884","92","37.73114415698301","14.93021654980238"
"35","34","1","4022","0","235.3345031568607","100","2.387593000060773","1.530142557687888"
"36","35","1","4269","0","574.8967080905419","100","18.10980019968713","10.950479806425555"
"34","33","1","4654","0","431.3561111597482","100","20.323448955291436","18.065919950704636"
"38","37","1","7556","1","1964.4291555211835","100","28.52899264984363","24.167883770427068"
"37","36","1","3953","0","424.43053194717606","89","56.99712953837351","15.036554098551001"
"40","39","1","3403","0","191.3815705478163","100","6.116845288788836","3.727955246713541"
"41","40","1","3767","0","626.0107565128103","100","31.118621243548322","28.12157326878158"
"43","42","1","4064","0","449.8747626998295","100","5.213684704574465","4.390329087278992"
"42","41","1","3960","0","754.1007974629672","100","25.80597416915683","17.47753345423249"
"44","43","1","4424","0","584.7854874627722","100","5.253587533524834","3.307911562370119"
"47","46","1","3989","0","241.12671834094664","41","3.4377127331690036","1.7748193324943997"
"46","45","1","4293","2","97.80843347295732","100","7.819101857211329","2.3104258608857116"
"49","48","1","3893","0","107.1006356800021","100","7.1735778858271875","5.7744967036809065"
"48","47","1","3435","0","933.0966731719459","100","9.880255615575559","6.884811223426724"
"39","38","1","30000","4","1815.4250928543447","100","17.581631885259444","10.587394980256057"
"50","49","1","3743","0","55.0905462362129","100","2.7458673323267497","1.367973294465095"
"45","44","1","30000","3","2826.7834168293525","98","47.82649339208165","51.883965990461114"
"51","50","1","4860","0","133.57236267981713","100","9.613741859207273","5.7323695873491545"
"52","51","1","4880","0","1019.5912654644119","100","24.101766450792706","40.39490241303588"
"53","52","1","3406","0","59.76631919721474","100","5.666609434945825","3.069049348850601"
"54","53","1","3492","0","262.5105442312958","100","14.509680218454003","10.969036292566555"
"56","55","1","3281","0","120.33197370524277","100","6.393120136778709","4.491487099143005"
"55","54","1","3300","0","386.4070726199804","94","26.415067317451648","9.772602552598562"
"57","56","1","4430","3","129.2602230547757","90","9.637482127712795","3.852472728123929"
"58","57","1","4624","0","103.5424712734529","100","4.061980416160067","3.52800028540887"
"59","58","1","3270","0","609.9926057424785","66","19.626148547040884","11.74029504814685"
"60","59","1","4095","0","1088.6132498453774","100","6.95800643815571","6.8028621118678565"
"61","60","1","4752","1","159.69928124495524","100","2.5336575236800796","0.9766035892800495"
"63","62","1","3941","0","416.2833495803721","100","30.085909743699837","23.553646893977273"
"62","61","1","4212","0","286.3686749057754","100","5.6554059802596885","5.876601983702686"
"64","63","1","3519","0","375.5093187337673","100","11.176099107196029","10.336607836315451"
"65","64","1","4969","3","541.7108582148355","100","23.515781420592653","12.983695218237637"
"66","65","1","4254","0","617.2060628602961","100","16.444908935772972","13.966317274119291"
"67","66","1","3487","0","269.090706752849","81","14.474452808136519","5.237477363531215"
"68","67","1","4483","0","599.2584967456877","100","26.745096712399015","19.238218265735778"
"69","68","1","4632","0","222.65228509752552","100","20.77788441916657","11.600319453548705"
"70","69","1","3503","0","153.1111785327598","100","4.686518898138684","2.760312750666414"
"71","70","1","4474","0","192.53407200302428","100","7.289605896444209","3.8883485446897064"
"72","71","1","3658","0","503.708735985264","100","41.32982617887995","27.129718057859495"
"73","72","1","4306","0","796.2512248421815","100","12.973824676776383","7.654182882600902"
"74","73","1","3747","0","457.21936872476334","100","11.69578279830027","7.631883162066945"
"75","74","1","3515","0","94.58161293426431","43","9.344902928652768","2.0424452317202215"
"76","75","1","4079","3","792.4161276512284","100","66.08283469039822","37.70563221254783"
"77","76","1","3640","1","1122.3807526416529","29","37.40123148798266","17.05438252401658"
"78","77","1","4533","0","271.51893240627595","100","8.859794599658327","3.4228843470185866"
"79","78","1","3531","0","57.331085503627655","100","4.8691206954135025","3.071929828468294"
"80","79","1","4820","0","933.3342186559514","100","73.03797953573675","64.60884626791251"
"81","80","1","3697","0","399.98680916759065","96","47.41535707741264","24.169709608384032"
"82","81","1","3368","0","308.4019251089801","100","22.676670987027837","10.596732527394796"
"83","82","1","4464","0","508.8477489253475","68","60.64784989657651","17.883998728168038"
"84","83","1","3772","0","150.77452986760505","100","13.256318116065012","5.618706625220203"
"85","84","1","3484","0","260.16156173082874","100","19.856027659292973","10.428219015333541"
"87","86","1","4302","2","302.91158215662165","100","36.1133421250701","17.370288107522274"
"90","89","1","4078","0","474.65292481475393","100","22.966035820278247","17.146011457092197"
"86","85","1","5120","0","781.7199743788838","100","31.77180116949173","12.756132458257618"
"91","90","1","3611","0","1063.2015354610799","67","52.12627953124924","39.07024304010422"
"93","92","1","3600","0","521.6155591654335","31","11.702780113300891","4.581714244499366"
"89","88","1","3831","1","61.529076184042964","100","3.978754197000033","1.974558610151056"
"88","87","1","4272","0","64.07357087907405","100","3.9703882976722427","2.580284311415229"
"94","93","1","4331","0","1248.813996400133","100","27.034295737559287","19.22919538843202"
"96","95","1","3448","0","468.2086024323213","100","46.65353678653507","26.615440760223"
"92","91","1","3377","0","239.51591027308967","100","9.669941999261484","5.506421293967015"
"95","94","1","5174","0","722.6778670532814","100","35.92558561182436","22.33897899001438"
"97","96","1","3671","0","72.50732533434807","100","4.4387131170098515","2.8754828474677043"
"98","97","1","5348","0","883.2619182705092","100","12.969504123364734","8.561829740707937"
"99","98","1","5318","0","1018.7875030224109","69","48.011165390436425","43.28529429521401"
"101","100","1","5865","0","477.6190995195892","100","23.0387144879648","21.86141480493116"
"100","99","1","6894","0","1060.2661296673207","100","28.213208103544392","25.157737425503246"
"102","101","1","6572","1","298.8394566415946","100","28.768655057905935","14.64012919004121"
"104","103","1","6183","0","620.159467534904","100","19.885598288243468","12.340818974526412"
