"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"bubble field 5 vertical"
"04/08/2019 01:43:59:358 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","1","5394","0","390.86871728964246","88","38.83555579268152","14.549265949786689"
"1","0","1","5874","0","234.93521247164244","83","29.5338580756139","9.866103503105515"
"3","2","1","5526","0","408.4372395519289","92","23.909932595727646","17.156567080448056"
"2","1","1","8899","0","1445.1975687823526","55","38.276034745602836","54.00447956252837"
"7","6","1","7611","0","16.396470386600665","98","1.895981931243898","0.7839616101639283"
"5","4","1","8531","0","743.322074930628","38","51.32131921475643","30.542125010032674"
"8","7","1","5795","0","221.49745821451805","83","8.859849893710582","1.9289691863104041"
"6","5","1","5467","0","358.56509506873317","78","20.519031854771896","6.64092366160567"
"12","11","1","7786","4","308.51576267437656","100","8.558607905759665","9.432715824673412"
"11","10","1","6554","0","764.7439905556987","62","55.783766117550826","25.518719785155035"
"13","12","1","5636","3","1312.0936017505348","84","96.71312067236826","38.27359278327433"
"9","8","1","7475","0","623.6428600427604","54","52.154909444940465","13.491764280704645"
"10","9","1","8246","0","603.4945355197384","86","88.38410929941982","18.37988575362499"
"14","13","1","8184","0","814.9727911383857","83","50.32890061057519","22.89914033601863"
"15","14","1","5109","0","150.2472290082021","85","16.598991921184275","6.668187649387118"
"18","17","1","5526","0","462.9279676254839","87","41.18919506081473","23.09713176631279"
"17","16","1","10027","4","884.4414357203023","87","52.254855592790726","30.722811124548514"
"21","20","1","4863","2","32.57071319056717","76","2.656599162456279","1.560689927525569"
"20","19","1","7903","3","755.3496509058589","92","61.45915194532488","26.660062820318643"
"19","18","1","8593","0","1379.4278764259457","79","41.953389520295175","26.074452641142997"
"22","21","1","5440","0","9.40254145056452","95","1.6493564060050185","0.252269468813838"
"23","22","1","5914","0","1247.0012101901873","53","110.67321168538695","61.430967158737225"
"25","24","1","6466","0","581.5671689840333","81","46.36164023949258","21.357923488460553"
"24","23","1","12781","1","1559.8300762511726","100","35.25559236787321","32.786078097905246"
"27","26","1","9393","0","1502.111811910726","85","77.6875267976489","30.118205522519887"
"28","27","1","8162","0","443.76452263371414","100","22.574317080602796","19.899305298986423"
"26","25","1","8501","0","177.99028977245456","100","2.1864944617320314","2.107004159570849"
"29","28","1","5717","0","33.93183492107998","82","4.486615792239245","1.2296049015603046"
"30","29","1","4866","0","1009.6834954340709","84","31.76363403143238","15.493761064987535"
"16","15","1","7551","4","1076.3789891472597","88","34.80229287539097","16.793258708328672"
"32","31","1","7551","0","669.7077437027635","87","56.16047328308293","20.73550921323996"
"33","32","1","4647","0","615.0060555561986","53","40.00119947835054","18.021118404545323"
"35","34","1","3880","0","71.95808196575663","96","9.985822284805637","2.0355808928343384"
"36","35","1","4259","0","249.66919044060134","84","20.27521475110413","5.727823241213569"
"38","37","1","3271","0","207.27596534287014","100","11.080344569417912","8.89645982421917"
"31","30","1","30000","0","781.069434925775","74","52.576332525698696","27.348536566326217"
"34","33","1","4643","0","388.70796884731067","100","17.59398053445936","13.006475478214817"
"37","36","1","3981","1","574.8801810896913","64","58.16610113709798","18.731598698608433"
"40","39","1","3398","0","99.07088359084452","100","5.964930556080252","4.918691247093053"
"39","38","1","4104","0","239.59928336338308","86","13.369768426171872","9.3946870589617"
"41","40","1","3762","0","529.8813532118725","92","63.10798683608672","17.58544678455596"
"43","42","1","4067","0","187.55542016351058","97","9.846089239693127","8.12950520384842"
"42","41","1","3909","0","345.61641323363125","100","27.014474931141795","9.522790302250298"
"45","44","1","9804","7","1711.7561483759814","73","75.07367777191487","30.346966427085192"
