"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"bubble field 5x5 open"
"04/06/2019 23:47:46:894 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"1","0","1","5886","0","344.7884035993876","99","21.387957116136544","9.78157326175409"
"4","3","1","5390","0","708.0790822362958","97","16.662019177072963","8.671497619843425"
"3","2","1","5563","0","971.9562964432287","81","63.12145231454399","46.18407897415218"
"2","1","1","8758","0","513.9994430995971","71","32.48966528636215","31.13448754650648"
"7","6","1","7600","0","38.77828894771082","99","3.4085145123755383","1.9854757082042533"
"5","4","1","8324","3","1091.1057485133247","51","107.59989715370219","42.17855484428277"
"8","7","1","5798","0","111.19286312601403","100","8.05442966770515","6.189528758217045"
"11","10","1","6530","0","746.0713539220185","56","30.79903341167633","5.968970425269855"
"6","5","1","5465","0","1137.6192664618202","84","35.343361705672415","20.029639039110744"
"12","11","1","7802","0","271.60406361363107","97","28.481090626257668","15.28756458231169"
"10","9","1","8276","0","861.892583274771","78","81.65401513597514","55.49146669041384"
"9","8","1","7485","0","789.7116018006857","46","98.98400478732364","31.44613755691744"
"13","12","1","5419","0","266.6452507979723","75","26.932996453429176","11.831088684461523"
"15","14","1","5116","0","115.81985216636474","92","10.06200268391599","6.802375691511812"
"14","13","1","10323","0","1182.8195367066135","80","59.52205566173028","55.08673881260306"
"17","16","1","9996","0","1184.3046041892453","97","45.71223801956546","54.11725198519017"
"18","17","1","5514","0","552.0370343277215","93","26.58929466630676","16.201592606735595"
"21","20","1","4857","0","36.72209738834607","86","3.7467445574952722","1.1121854007291896"
"20","19","1","7867","0","439.38952572488904","74","50.06033115169013","28.521782812859925"
"22","21","1","5439","0","18.954272452612752","100","0.8798743160631229","0.5781796180932355"
"23","22","1","5837","3","541.8592818500873","68","32.60971698517828","13.72396621632594"
"19","18","1","13615","3","1709.3533146044092","96","39.6979297383616","29.23432712120773"
"24","23","1","6981","0","850.1319847210284","99","59.04215172949312","38.49834086259788"
"25","24","1","6617","3","533.528048604544","94","10.847271158024892","12.36694789798747"
"26","25","1","8524","0","40.04379486015133","100","4.040486607675685","2.271451596233889"
"27","26","1","9420","3","848.0591934587794","68","100.80812163229339","54.673505029227286"
"28","27","1","8161","0","525.0672303671499","99","21.14148396755575","17.26742123112719"
"30","29","1","4859","0","234.727793261709","91","23.947732017605585","8.056129569887602"
"29","28","1","5716","0","49.86070465384291","94","4.226913976312398","1.8542567615589851"
"16","15","1","7466","0","456.3309038937834","98","13.004465381445183","9.11984518537091"
"31","30","1","8876","1","755.6744187465849","82","64.35457503514719","45.149214295744585"
"35","34","1","3883","2","167.58183315536826","97","16.003528231309","9.076848533264943"
"33","32","1","4645","0","802.6722793043824","67","46.19794378097941","28.44602872160375"
"36","35","1","4260","1","130.68531009175132","96","11.020392508560752","6.8969765395909945"
"32","31","1","30000","4","1217.545878431172","78","37.05925903854593","33.38131951171392"
"34","33","1","4643","0","340.57217033871785","100","16.771968330826752","8.4496259067231"
"38","37","1","3282","0","652.7978008933247","100","15.99650272569943","10.554641764429844"
"37","36","1","3969","1","466.34508405805747","60","20.577418859725658","8.342441062408756"
"39","38","1","4105","0","822.4522875345783","96","7.314435169000784","4.510810264427124"
"40","39","1","3390","0","403.60219618531335","100","4.700395872768125","3.8056313095392738"
"41","40","1","3760","0","679.4610536093151","82","56.128897476997516","43.70330652577307"
"43","42","1","4049","0","190.25058348597133","92","11.85986255192435","4.068525705603289"
"42","41","1","3920","0","572.5700079346666","100","26.361265135697423","28.42929235947439"
"44","43","1","4428","0","201.32746513812864","98","6.08644213250125","3.8160358563340093"
"47","46","1","3979","0","196.11298023926264","26","5.045754648232005","1.7562067292368526"
"46","45","1","4290","0","192.33049504126836","84","12.748702733687756","6.376015960228988"
"49","48","1","3895","0","63.08404744214946","97","6.761081417636758","2.8546187071392044"
"48","47","1","3429","0","475.3908255637879","89","22.08004162681527","13.229167704642006"
"45","44","1","30000","2","2119.308734563997","65","47.033945033375346","40.309110754643825"
"50","49","1","3734","2","47.923992818358926","95","3.83819746570636","1.9694109236455781"
"51","50","1","4901","0","663.29954554232","92","39.43766669469188","26.59470572516124"
"52","51","1","3923","0","712.0013158843199","79","51.721674468659124","35.75433337067321"
"53","52","1","3412","0","278.87284231072545","94","12.9600469994155","11.667011536760928"
"54","53","1","3487","0","117.14517275716949","74","16.19332330618394","7.1294021607926545"
"56","55","1","3291","0","187.39199988661315","77","23.86567833425809","11.737606812215315"
"55","54","1","3303","0","474.76785075205436","78","35.740412320052044","24.210852959664603"
"57","56","1","4427","0","78.74971315816602","84","5.354816512413156","2.6334269594645843"
"59","58","1","3251","0","303.2837546229343","35","20.889769500631147","9.891014698236901"
"58","57","1","4631","0","92.78242970930913","94","6.402545409661009","3.669396327029264"
"60","59","1","4091","0","329.68013607714977","94","11.125901530856607","8.192798178822065"
"61","60","1","4752","0","125.04791005981616","97","7.767281686178019","5.072440514354254"
"63","62","1","3935","0","571.534617044894","86","17.49878695116934","9.314365490269648"
"64","63","1","3528","0","711.2725865602453","80","62.36418904001234","43.43352380495288"
"62","61","1","4204","0","522.6511935087966","96","16.942324036011318","16.35116964814691"
"65","64","1","4966","0","531.8396109172518","99","23.267301121068687","14.444900819866366"
"67","66","1","3470","0","619.2282852602209","49","6.82886774988677","3.5238577617984337"
"66","65","1","4253","0","591.2277773213041","100","21.736655844554434","10.74023268353257"
"68","67","1","4471","0","803.7077596214858","82","43.49424881087623","30.76870584607023"
"69","68","1","4645","0","368.8883579433871","68","34.73667195131438","19.93178410329033"
"70","69","1","3497","0","135.89519674765708","100","13.985139895465418","6.200028408566164"
"71","70","1","4491","0","561.4646963779445","83","37.62166266249297","24.52287665474856"
"72","71","1","3667","0","898.9748118691953","100","55.608370198186364","27.899305785172814"
"73","72","1","4287","0","324.15639977964537","72","29.318396188256354","16.28352675000297"
"74","73","1","3755","0","308.3776389612883","100","27.945713337997123","16.04242947404511"
