,source-level,classification-threshold-std,classification-threshold-mean,sonar_ping_rate,uuv-speed,turn-radius,side_angle,side_hi_range,forward_angle,forward_hi_range,max-obs-dist,obs-influence,nav-bearing-std,nav-velocity-std-cm,current-heading,drift-speed,field-attenuation
0,62,5,4,7,1.7,16.9,34,752,99,471.9,27.7,3.5,0.3,1,334,0.3,86
1,95,3.7,4,7,1.2,14.5,31,641,93,253.1,29.2,3.2,0.31,0.95,261,0.4,92
2,72,7.8,0,5,1.8,11.6,39,730,103,328.1,24.7,2.3,0.25,0.87,356,0.3,60
3,85,9,3,6,1.9,17.6,22,681,79,284.4,24.1,2.8,0.17,0.99,241,0.5,65
4,50,4.5,6,4,1.2,15.3,29,786,130,353.1,21.1,4,0.43,0.3,160,0.2,89
5,85,4.9,7,1,1.8,13.3,35,608,78,146.9,21.8,4,0.32,0.51,112,0.2,93
6,70,10,8,5,1.3,12.3,26,788,127,390.6,27,2.2,0.01,0.15,168,0.2,92
7,79,7.3,9,2,1.7,19.2,42,603,81,184.4,24.9,2.2,0.09,0.32,121,0.2,52
8,51,1.4,3,4,1.4,19.8,38,686,111,440.6,27.4,2.5,0.3,0.29,339,0.4,80
9,99,1.7,2,5,1.2,11,25,709,74,156.3,24.8,2.3,0.35,0.16,328,0.2,75
10,52,9.8,5,5,1.6,10.7,39,644,103,431.3,21.6,3.1,0.14,0.27,269,0.5,75
11,96,9.9,3,6,1.3,20,33,781,80,225,22.4,3.3,0.13,0.47,303,0.3,63
12,74,3.3,10,4,1.8,17.2,21,672,106,456.3,20.1,2.4,0.45,0.74,115,0.1,79
13,88,3,9,6,1.2,12.3,43,708,74,256.3,20.2,2.6,0.42,0.94,129,0.1,70
14,63,5.7,10,4,1.9,12.1,21,628,129,421.9,28.4,3.5,0.12,0.55,107,0,66
15,89,7.8,10,1,1.3,15.2,44,745,77,268.8,29.6,3.2,0.17,0.61,93,0,99
16,61,2.6,2,11,1.1,17,37,698,75,337.5,26.3,3.2,0.11,0.99,14,0.4,16
17,98,4.2,3,12,1.8,12,24,695,112,115.6,25.9,3.4,0.22,0.64,28,0.3,53
18,59,8,3,8,1.4,10.3,37,706,76,468.8,23.1,3,0.36,0.96,22,0.3,15
19,82,9.7,4,12,1.3,18,29,631,98,196.9,20.5,2.9,0.33,0.63,6,0.3,42
20,64,2.8,8,14,2,16.6,28,800,67,356.3,21.7,4,0.02,0.48,294,0,20
21,81,3.4,6,14,1.8,11.3,41,653,128,325,20.5,3.2,0.01,0.17,196,0.2,25
22,60,7.5,8,15,1.7,13.4,21,789,63,450,28,2.1,0.45,0.43,286,0.3,25
23,87,6.6,10,15,1.4,16.3,40,656,129,259.4,26.3,2.3,0.47,0.32,236,0.1,12
24,64,3.1,5,10,1.6,19.9,32,652,91,428.1,25.5,2.9,0.14,0.15,17,0.4,40
