"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"6","0","15000","-14.8","-14.8","0.04"
"1","0","15000","-14.2","-14.2","0.16"
"3","0","15000","-16.725","-16.725","0.055"
"5","0","15000","-14.775","-14.775","0.045"
"4","0","4722","-3.7720000000000002","-3.7720000000000002","0.19"
"7","0","4740","-4.165","-4.165","0.115"
"2","0","4767","-3.5170000000000003","-3.5170000000000003","0.25"
"8","0","4721","-3.021","-3.021","0.34"
"9","0","15000","-14.425","-14.425","0.115"
"12","1","15000","-13.325","-13.325","0.335"
"10","0","4739","-3.564","-3.564","0.235"
"11","1","4718","-6.068","-6.068","0.13"
"15","1","15000","-13.475","-13.475","0.305"
"17","1","15000","-14.4","-14.4","0.12"
"13","1","4787","-4.712","-4.712","0.015"
"16","1","4768","-4.093","-4.093","0.135"
"14","1","15000","-14.15","-14.15","0.17"
"18","1","4937","-3.612","-3.612","0.265"
"20","1","4738","-3.5630000000000006","-3.5630000000000006","0.235"
"19","1","15000","-14.65","-14.65","0.07"
"25","2","15000","-14.85","-14.85","0.03"
"21","2","15000","-14.725","-14.725","0.055"
"22","2","15000","-14.65","-14.65","0.07"
"23","2","7836","-7.461","-7.461","0.075"
"24","2","4711","-4.486000000000001","-4.486000000000001","0.045"
"26","2","15000","-13.825","-13.825","0.235"
"27","2","4744","-3.019","-3.019","0.345"
"28","2","4763","-3.738","-3.738","0.205"
"29","2","4726","-3.126","-3.126","0.32"
"31","3","4742","-4.142","-4.142","0.12"
"30","2","10608","-10.133000000000001","-10.133000000000001","0.095"
"32","3","9215","-10.865","-10.865","0.07"
"33","3","12158","-11.583","-11.583","0.115"
"36","3","15000","-13.95","-13.95","0.21"
"34","3","4728","-3.7779999999999996","-3.7779999999999996","0.19"
"35","3","4753","-4.553","-4.553","0.04"
"37","3","4775","-4.4","-4.4","0.075"
"38","3","4730","-5.880000000000001","-5.880000000000001","0.17"
"39","3","4722","-3.6220000000000003","-3.6220000000000003","0.22"
"40","3","4816","-3.016","-3.016","0.36"
"41","4","4771","-4.6209999999999996","-4.6209999999999996","0.03"
"42","4","4747","-4.397","-4.397","0.07"
"43","4","4730","-3.7800000000000002","-3.7800000000000002","0.19"
"46","4","15000","-14.425","-14.425","0.115"
"44","4","4773","-4.4479999999999995","-4.4479999999999995","0.065"
"45","4","4746","-4.521000000000001","-4.521000000000001","0.045"
"47","4","4733","-3.433","-3.433","0.26"
"50","4","15000","-13.825","-13.825","0.235"
"51","5","15000","-14.575","-14.575","0.085"
"48","4","15000","-14.975","-14.975","0.005"
"49","4","10897","-10.097","-10.097","0.16"
"52","5","4744","-4.718999999999999","-4.718999999999999","0.005"
"53","5","4743","-3.4930000000000003","-3.4930000000000003","0.25"
"54","5","4759","-4.559","-4.559","0.04"
"57","5","4759","-4.2090000000000005","-4.2090000000000005","0.11"
"55","5","6874","-6.749","-6.749","0.025"
"56","5","4772","-5.447","-5.447","0.265"
"58","5","15000","-14.7","-14.7","0.06"
"59","5","15000","-14.9","-14.9","0.02"
"60","5","4743","-4.5680000000000005","-4.5680000000000005","0.035"
"61","6","15000","-14.075","-14.075","0.185"
"62","6","4758","-3.908","-3.908","0.17"
"66","6","15000","-14.475","-14.475","0.105"
"64","6","4727","-4.502000000000001","-4.502000000000001","0.045"
"65","6","4813","-3.1629999999999994","-3.1629999999999994","0.33"
"63","6","15000","-14.35","-14.35","0.13"
"67","6","7339","-7.189","-7.189","0.03"
"70","6","15000","-14.925","-14.925","0.015"
"73","7","15000","-14.95","-14.95","0.01"
"68","6","13369","-13.144","-13.144","0.045"
"69","6","4732","-4.057","-4.057","0.135"
"71","7","15000","-13.425","-13.425","0.315"
"72","7","4727","-4.477","-4.477","0.05"
"74","7","15000","-14.65","-14.65","0.07"
"77","7","15000","-14.375","-14.375","0.125"
"75","7","4730","-3.9300000000000006","-3.9300000000000006","0.16"
"76","7","4733","-4.4079999999999995","-4.4079999999999995","0.065"
"80","7","15000","-14.1","-14.1","0.18"
"78","7","15000","-16.425","-16.425","0.115"
"79","7","15000","-13.7","-13.7","0.26"
"85","8","15000","-17.725","-17.725","0.055"
"81","8","4738","-4.138000000000001","-4.138000000000001","0.12"
"82","8","4746","-4.746","-4.746","0"
"83","8","4738","-4.363","-4.363","0.075"
"84","8","4753","-4.053","-4.053","0.14"
"88","8","15000","-14.6","-14.6","0.08"
"86","8","4763","-4.013","-4.013","0.15"
"87","8","4762","-4.611999999999999","-4.611999999999999","0.03"
"89","8","4749","-3.274","-3.274","0.295"
"90","8","15000","-14.725","-14.725","0.055"
"91","9","4756","-4.281000000000001","-4.281000000000001","0.095"
"92","9","8067","-7.992","-7.992","0.015"
"93","9","4790","-4.64","-4.64","0.03"
"94","9","4776","-4.226","-4.226","0.11"
"97","9","15000","-14.8","-14.8","0.04"
"95","9","4717","-4.191999999999999","-4.191999999999999","0.105"
"96","9","4717","-3.5669999999999993","-3.5669999999999993","0.23"
"100","9","15000","-14.55","-14.55","0.09"
"98","9","4769","-3.794","-3.794","0.195"
"99","9","15000","-14.2","-14.2","0.16"
"101","10","4736","-3.7609999999999997","-3.7609999999999997","0.195"
"102","10","4733","-3.6579999999999995","-3.6579999999999995","0.215"
"103","10","10639","-9.363999999999999","-9.363999999999999","0.255"
"104","10","10721","-10.571","-10.571","0.03"
"106","10","4751","-4.676","-4.676","0.015"
"105","10","15000","-13.55","-13.55","0.29"
"107","10","4750","-4.6","-4.6","0.03"
"112","11","15000","-14.65","-14.65","0.07"
"108","10","4737","-3.387","-3.387","0.27"
"109","10","4740","-4.34","-4.34","0.08"
"110","10","4743","-7.593","-7.593","0.03"
