"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trial.nlogo"
"horseshoe1"
"01/05/2019 13:02:31:679 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"3","2","2650","0.6250000000000004","0.5559553576602929","0.655","0","5.295680384150704","131","0.4416331207107829","0.24881330268629265","[0.5288650986790397]"
"6","5","7160","-6.635","-27.425133112995937","0.105","0","2282.8423562785993","21","145.03295510488292","62.86837602507645","[398.08548564638505]"
"8","7","11406","-14.356","-77.07241964870697","0.01","3","3180.744813546358","2","362.18326833641856","264.9809281506511","[91.39901538712655]"
"1","0","4198","0.45199999999999996","-6.989887461317307","0.93","0","2068.6121461863368","186","42.973939239168224","31.44493537400483","[412.4999448093565]"
"2","1","5334","-4.709","-9.494119966863217","0.125","0","1524.3292561939743","25","34.54729662049566","13.30390304813652","[304.86585123879485]"
"5","4","5759","-1.9590000000000005","-22.89831359523563","0.76","0","3705.5414794545413","152","142.78202512882822","66.61111082352808","[741.1082958909083]"
"4","3","2361","0.5390000000000001","-11.410278578505897","0.78","1","995.7616366099885","156","68.52507454401807","50.967711241040895","[115.93930670900738]"
"7","6","6045","-1.8449999999999998","-18.859746028000817","0.84","0","2773.428785669857","168","75.63183812579624","94.51562215421195","[513.8404012574016]"
"12","11","2159","-1.259","-41.5933277991887","0.18","0","1939.755462708597","36","233.89266660800092","169.45061138388596","[116.68523460829444]"
"11","10","2281","-0.30600000000000005","-22.780039128282034","0.395","0","1584.3453976006938","79","159.34294341936396","65.39744786345635","[29.618461062216653]"
"16","15","2738","-1.613","-61.673303494086184","0.225","0","2742.803186448892","45","424.5521049282195","176.05093001264234","[217.85205487220844]"
"10","9","19523","-18.623","-33.19708321019235","0.18","0","4583.246897414639","36","86.72104837460276","59.019783727320764","[185.27158498630013]"
"14","13","13486","-11.486","-43.255615139479644","0.4","0","3286.0387652943523","80","220.1398466095239","97.55630478527263","[421.8901607627747]"
"9","8","20000","-18.225","-52.602122445540914","0.355","0","3953.598834604714","71","173.58439186632313","170.18683258908595","[790.7197669209428]"
"13","12","7540","-3.09","-21.10203682889984","0.89","0","4829.967623596764","178","112.87545769437882","67.24491059461951","[954.5877106835209]"
"15","14","20000","-15.925","-23.31308884211467","0.815","0","3818.2390626278266","163","32.140293512377156","41.740594908769566","[320.11718382413477]"
"18","17","4481","-2.731","-7.719368699193709","0.35","0","1630.5058571062566","70","31.993534296736048","17.89015269520106","[326.1011714212513]"
"17","16","6126","-1.7760000000000007","-10.187235977764143","0.87","0","1143.340637453653","174","51.55171605296796","32.56064372467347","[228.6681274907306]"
"20","19","2410","-3.16","-67.53076031083866","0.05","1","3270.7653649602516","10","388.8414606229574","254.86614248542915","[36.80496888100545]"
"19","18","2612","1.4879999999999995","-5.830824546540443","0.82","0","464.7561151272429","164","47.9319093729057","25.256336092498717","[28.59728535444364]"
"22","21","5146","-3.6710000000000003","-38.78642085497855","0.295","0","1789.7686848682656","59","254.7085431457712","96.44566540401432","[163.3373841264836]"
"21","20","5772","-1.7219999999999995","-8.786124468905252","0.81","0","1390.3531985105892","162","49.92737192640538","20.71387276264714","[273.09864776734855]"
"23","22","2792","0.5080000000000005","-32.14679782340939","0.66","0","1782.9862951663083","132","202.04885819274958","124.49912004134445","[291.99809796979457]"
"24","23","8794","-7.619000000000001","-19.414228351784402","0.235","0","4386.6934466100165","47","74.43514370907651","43.517139808767475","[761.7542952110559]"
"25","24","5537","-3.3369999999999997","-49.15817282984695","0.44","0","3283.3873937128096","88","269.2385239335705","188.97320436489886","[383.55917824525625]"
"27","26","2828","0.7469999999999999","-11.378649060127195","0.715","0","1020.377033846827","143","58.17437851727539","63.08211208399654","[196.2053825428465]"
"28","27","2219","-1.194","-5.040099712930536","0.205","0","1404.2072281787964","41","25.781693731252645","12.6793033980527","[280.84144563575927]"
"26","25","16912","-15.712","-71.63850163671826","0.24","0","3465.5718556397874","48","391.9455239077175","167.3194924594651","[632.5895509262017]"
"30","29","10387","-8.762","-33.591046157575214","0.325","0","3033.6465078827396","65","180.30377114662488","67.98669042912724","[375.3870709473195]"
"29","28","3796","-0.9959999999999996","-49.6938022088688","0.56","0","2655.020925045741","112","346.38260062908967","140.59542145959853","[101.07770902663043]"
"32","31","3040","-3.04","-3.04","0","0","2239.1094143592572","0","0","0","[351.2502304532483]"
"33","32","4436","-1.0109999999999997","-9.770280813353526","0.685","0","2000.6319653855874","137","44.84270051223994","42.750107621295335","[400.1263930771175]"
"34","33","3557","-2.282","-9.371117166814402","0.255","0","394.50317700405213","51","50.007373243787285","20.883798424356723","[47.75581004752727]"
"35","34","2232","-1.2820000000000005","-4.262800034860605","0.59","2","345.8089517777224","118","17.699908020920695","12.108092327685357","[69.16179035554448]"
"36","35","2360","1.6150000000000002","-9.132176484728502","0.795","0","660.3739071993936","159","66.95450092414096","40.51726392314407","[132.0747814398787]"
"37","36","5024","-3.949","-17.246181435973476","0.215","0","2496.961083994294","43","85.73422543119047","47.237588928544284","[485.10995850089154]"
"31","30","20000","-19.35","-64.26685002193065","0.13","0","4242.78478903422","26","243.97121890687598","205.19728131243048","[840.6759548380699]"
"38","37","8687","-8.011999999999999","-52.46697468024013","0.135","0","3650.3873452702273","27","173.02921996467092","271.5205268377303","[260.1171997696122]"
"39","38","7703","-6.003","-36.82042495434647","0.34","0","4052.892670393173","68","194.92669984729122","113.24754969617335","[807.5658061708696]"
"40","39","2426","0.7489999999999997","-11.023442121186172","0.635","0","659.4801178433296","127","90.30524844589456","27.419172765967165","[93.48265828319799]"
"41","40","3490","-4.09","-6.219717120610652","0.28","2","271.5551442253577","56","10.882143444043564","10.415027762062962","[54.31102884507155]"
"43","42","2844","-4.369","-13.248658991853198","0.095","2","605.781887367938","19","52.39389774424403","36.40269217428794","[5.831583890957122]"
"44","43","2452","1.4729999999999999","-4.755681850028416","0.985","1","363.25154701413055","197","43.946629126071755","18.34018937421238","[12.50307212596404]"
"42","41","4165","0.7350000000000003","-20.268817210164052","0.98","0","1583.9975483605108","196","146.35867669151153","63.67949541012898","[316.79950967210215]"
"45","44","20000","-19.025","-43.55058040105699","0.195","0","4165.698417169386","39","136.13224588842502","109.12355812214483","[833.139683433877]"
"46","45","20000","-16.35","-25.099290051000914","0.73","0","4126.459517478877","146","50.805120126479814","36.68778038352934","[825.2257076946079]"
"47","46","2592","-2.467","-25.2216309527585","0.025","0","2377.2811136965465","5","192.2924425903765","35.253866937208436","[475.45622273930934]"
"49","48","4510","-1.6349999999999998","-11.36850767458697","0.575","0","1240.6027791753327","115","61.58956615765644","35.74551058821325","[248.12055583506654]"
"48","47","20000","-17.525","-40.1548274183637","0.495","0","5166.868435666553","99","88.61079985461933","137.6874743290177","[852.7111768699579]"
"51","50","3433","-2.0329999999999995","-12.5285371025566","0.28","0","558.5418567372836","56","63.28860285154216","41.66676817402382","[109.83796323307594]"
"50","49","10946","-6.045999999999999","-12.833459684718305","0.98","0","2832.5170348306756","196","29.37144885220453","38.503147994978505","[566.5034069661351]"
"52","51","2496","-1.396","-9.209513246208427","0.42","1","1668.3774038705726","84","39.109428533829984","39.02570392825431","[333.67548077411453]"
"54","53","9954","-8.204","-67.96959064128473","0.35","0","4404.995875193647","70","281.5300927836191","316.1258136292282","[61.546776040616166]"
