,turn-radius,uuv-speed,nav-bearing-std,nav-velocity-std-cm,max-obs-dist,obs-influence,sonar_ping_rate,side_angle,side_low_range,side_hi_range,side_p_detect,forward_angle,forward_low_range,forward_hi_range,forward_p_detect,current-heading,drift-speed
0,6.36,2.78,0.78,0.91,10.74,3.59,34,91,31,944,0.8867200000000001,73,0,800,0.94375,221.6,0.84
1,18.03,2.22,0.86,0.92,3.72,2.54,26,26,30,506,0.96094,62,0,758,0.78125,288.9,0.91
2,10.02,4.03,0.0,0.55,13.01,1.2,45,79,32,656,0.73438,31,0,693,0.99375,227.2,0.55
3,14.52,4.56,0.59,0.73,13.69,3.91,5,50,25,569,0.70703,46,0,788,0.7375,347.8,0.61
4,2.0,2.56,1.11,0.47,3.95,2.89,22,112,40,706,0.55469,89,0,242,0.55625,157.1,0.88
5,14.66,2.72,1.39,0.02,12.55,1.98,36,7,25,294,0.5898399999999999,90,0,408,0.45,123.4,0.92
6,9.03,5.0,1.52,0.58,5.53,1.52,15,113,39,781,0.85156,27,0,123,0.575,112.2,0.91
7,12.27,3.81,1.78,0.13,10.97,4.65,52,4,26,369,0.7460899999999999,26,0,254,0.46875,154.3,0.47
8,2.42,1.19,0.52,0.41,6.66,4.89,44,53,35,881,0.8710899999999999,39,0,236,0.95625,286.1,0.78
9,19.72,1.31,0.44,0.53,4.4,0.96,13,67,24,313,0.74219,29,0,129,0.93125,162.7,0.73
10,2.84,4.91,0.95,0.56,10.06,0.82,47,28,32,863,0.58203,58,0,212,0.8,336.6,0.72
11,18.59,4.94,0.5,0.77,5.08,5.0,31,109,26,450,0.6210899999999999,67,0,373,0.875,193.5,0.59
12,10.58,2.03,1.91,0.36,12.78,3.73,4,44,33,913,0.5039100000000001,35,0,592,0.45625,39.3,0.77
13,15.5,1.88,1.84,0.7,3.49,1.55,55,66,24,513,0.50781,42,0,753,0.4875,75.7,0.67
14,6.64,3.09,1.95,0.45,14.59,1.45,3,19,40,844,0.9218799999999999,73,0,438,0.4375,25.2,0.63
15,16.06,4.0,1.97,0.06,5.98,2.82,59,88,25,538,0.9804700000000001,63,0,485,0.40625,30.9,0.98
