"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/10/2019 01:09:41:826 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached"
"1","0","1","240","0","5.141323738186344","0","0.7496808706033723","0.09351714159293523","false","false"
"3","2","1","338","0","13.053154433672859","0","1.4170063810358298","0.5606273565402733","false","false"
"4","3","1","364","0","30.77944243722211","0","4.32237642825947","0","false","false"
"2","1","1","340","0","12.834132069964888","0","0","0","false","false"
"7","6","1","496","0","2.2014362825948153","0","0.3366446730254357","0.07539491577635753","false","false"
"5","4","1","414","0","37.58186177671853","0","0","0","false","false"
"10","9","1","491","0","24.37465028345393","0","2.1707281017853237","1.4323835733302468","false","false"
"13","12","1","358","0","30.09582687460201","0","1.5167746346790572","1.2962351024336638","false","false"
"15","14","1","389","0","4.4193542383380375","0","0.5523462687407125","0.1691582147910315","false","false"
"12","11","1","2122","0","42.80822170748101","0","3.257456603809824","2.6535331790641155","false","false"
"8","7","1","475","0","10.228828934376633","0","0.8539414865859111","0.6037185991901575","false","false"
"9","8","1","1551","0","325.1142418922914","0","52.48892043931718","13.1359190335412","false","false"
"14","13","1","2360","0","76.99291280820857","0","10.8123495169236","3.978219693687538","false","false"
"11","10","1","3738","1","518.1513510694006","0","43.933700467856596","22.260950996130155","false","false"
"6","5","1","217","0","14.78540218593751","0","1.769363386740769","0.42764360704489346","false","false"
"18","17","1","1281","0","60.87339408348978","0","3.8191354123872685","3.1408333541963915","false","false"
"17","16","1","2164","0","75.86257888713278","0","4.8790724233585845","5.133898365039956","false","false"
"23","22","1","549","0","124.17092007534129","0","16.38982432325563","7.150928196989788","false","false"
"20","19","1","1553","0","51.2474369615085","0","4.069450512711329","1.940758271021334","false","false"
"21","20","1","1370","0","11.464318021095767","0","1.3215419458822308","0.5316806578231794","false","false"
"27","26","1","271","0","19.3540438223114","0","3.803108820456197","0.09022748853558851","false","false"
"19","18","1","1748","0","167.80769170420893","0","22.041050820567193","10.191769816055213","false","false"
"25","24","1","332","0","6.577003249888806","0","1.0372127091999686","0.3214634492585254","false","false"
"26","25","1","496","0","3.416812941766412","0","0.34999340348680774","0.15613842085611876","false","false"
"28","27","1","500","0","19.913410660153865","0","3.4557460297800473","0.0457762833768637","false","false"
"29","28","1","425","0","5.468429874233899","0","0.801510380930711","0.1659679090737129","false","false"
"30","29","1","519","0","30.18724747359866","0","2.378619468911789","1.8945896707353105","false","false"
"31","30","1","2197","0","252.7025954075171","0","16.86579296081107","12.337195855962024","false","false"
"32","31","1","2242","0","257.09053974064915","0","14.826879671610834","14.389900350310484","false","false"
"24","23","1","1871","0","1072.4521937968448","0","139.83742065467658","78.4948473533622","false","false"
"35","34","1","334","0","13.093028743393605","0","1.5051237158297806","0.6934711255354414","false","false"
"22","21","1","2972","0","4.970855365802015","0","0.32186781340858234","0.12383979243734601","false","false"
"36","35","1","402","0","24.972714708698767","0","3.504310230872237","0.899914634287188","false","false"
"37","36","1","281","0","41.38834544906908","0","0","0","false","false"
