"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"random big spoofers alt"
"03/29/2019 12:22:41:896 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"3","2","1","5522","0","13.50000000000013","100","0.2700000000000004","0.8140806303599626"
"4","3","1","5385","0","0","100","0","0"
"1","0","1","5879","0","0","100","0","0"
"2","1","1","8745","0","103.60000000000096","100","0","0"
"7","6","1","7608","0","0","100","0","0"
"5","4","1","8320","0","79.80000000000247","81","0.39407407407407485","2.492148559866461"
"8","7","1","5797","0","172.4766940952556","100","7.199999999999891","8.178001420124424E-14"
"11","10","1","6506","0","0","100","0","0"
"9","8","1","7452","0","0","63","0","0"
"6","5","1","5464","0","0","100","0","0"
"10","9","1","8344","0","152.00000000004277","100","9.680000000002131","6.62776528909153"
"12","11","1","7782","0","0","100","0","0"
"14","13","1","8113","0","0","100","0","0"
"13","12","1","5415","1","101.0000000000023","100","8.463799999999924","7.81918422725778"
"15","14","1","5107","0","0","100","0","0"
"21","20","1","4856","0","41.42888410905887","100","0.9461999999999801","1.3399975727401174"
"18","17","1","5528","0","0","100","0","0"
"17","16","1","9982","0","38.49059129511519","100","0.13339999999999655","0.5160381710100334"
"22","21","1","5440","0","11.999999999999806","100","0.16000000000000358","0.36845294917747673"
"20","19","1","7848","0","0","100","0","0"
"19","18","1","7223","0","20.69999999999988","100","0.13799999999999968","0.41608565551731247"
"23","22","1","5840","0","16.8000000000008","100","1.6799999999999955","1.1744451033172842E-14"
"24","23","1","6956","0","15.000000000001094","100","1.1900000000000557","0.9815983667139253"
"25","24","1","6648","0","332.99999999999056","100","17.019999999999783","7.055623160417207"
"27","26","1","9405","0","17.500000000000366","100","2.835000000000034","1.3799703554128353"
"29","28","1","5693","0","68.33773671441236","100","1.0199999999999825","3.0754157146931376"
"28","27","1","8208","0","66.80000000000345","100","6.646599999999969","0.3339999999999967"
"30","29","1","4844","0","79.800000000001","100","2.530800000000065","2.5903931607524475"
"26","25","1","8835","0","298.4999999999979","100","29.173400000002317","10.955392770112727"
"31","30","1","8854","0","31.600000000009423","100","6.320000000000692","4.309145563568341E-13"
"32","31","1","7490","3","67.52681889306311","100","4.839999999999911","2.432191512927278"
"33","32","1","4610","0","73.19039266831689","100","2.5060000000000597","3.432306995758376"
"35","34","1","3891","0","39.40000000001367","100","7.761800000001765","0.6754996355115055"
"36","35","1","4236","0","38.700000000002895","100","2.992800000000031","2.61160041493196"
"16","15","1","7461","0","0","100","0","0"
"38","37","1","3275","0","17.300000000002473","100","0.3114000000000006","0.9951772797757297"
"34","33","1","4623","0","99.20000000000061","100","1.4880000000000178","2.990992538211449"
"37","36","1","3956","0","0","96","0","0"
"39","38","1","4461","0","809.6000000001127","100","45.88959999999545","47.509905780928214"
"40","39","1","3437","0","183.60000000001838","100","17.442000000000437","10.479002381386174"
"41","40","1","3747","0","308.3173764266133","100","8.127599999999822","5.3182322421851005"
"42","41","1","3897","1","103.40643788680957","100","2.949999999999978","1.778916933008802"
"45","44","1","3781","0","0","97","0","0"
"43","42","1","4067","0","394.78002619489354","100","16.244999999999784","4.407554923541886"
"44","43","1","4421","0","134.7054604865927","100","0.7083999999999953","2.9613008061739294"
"47","46","1","3981","2","20.80000000000089","86","2.6716279069767093","1.0729112242921406"
"46","45","1","4289","0","0","100","0","0"
"49","48","1","3895","0","0","100","0","0"
"48","47","1","3430","0","163.19999999999715","100","8.15999999999999","2.7337028575050275"
"50","49","1","3734","0","0","100","0","0"
"52","51","1","3894","2","20.800000000000335","100","3.4736000000000367","1.5090591891518648"
"51","50","1","4877","2","117.00000000000087","100","4.726800000000031","4.572157477602921"
"53","52","1","3407","0","0","100","0","0"
"54","53","1","3482","0","0","100","0","0"
"55","54","1","3283","0","0","100","0","0"
