"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"random spoofers"
"03/28/2019 00:04:31:952 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","1","5402","0","302.28951444042417","100","9.789921068482425","8.983146366896674"
"1","0","1","5898","0","393.7018438491159","100","17.49802431667623","15.15025268436496"
"2","1","1","8893","0","1270.0627763363898","100","99.80679324278557","44.96866717202445"
"3","2","1","5634","0","1046.5084269739773","100","8.619652049758052","5.743325319729071"
"5","4","1","8330","0","455.92919920776785","79","43.63272256644201","20.027379095312583"
"7","6","1","7608","0","17.834718772850756","100","1.804070987093916","0.989217231331618"
"8","7","1","5798","0","189.30987541341509","100","8.954699629510749","6.6249868785033525"
"11","10","1","6520","0","491.4113411663535","100","7.415754813921531","6.473425658590698"
"12","11","1","7796","0","159.48377740260523","100","16.85634945021982","12.310109232821691"
"13","12","1","5420","0","538.0028355795279","100","53.910937961930394","24.074991509087916"
"9","8","1","7482","0","1206.8701939389928","52","125.76284210711323","74.1297591333817"
"15","14","1","5116","0","408.11996507089975","100","12.154230690912819","10.757372533561268"
"10","9","1","8309","0","895.3593244194728","100","45.252958052748625","19.596865903263826"
"14","13","1","8262","0","1141.5541120888524","100","43.89976587563652","22.263681507459555"
"6","5","1","5462","0","856.1804444010811","100","16.87314797185719","6.4767079574616355"
"18","17","1","5541","0","907.8495764045933","100","9.480100054133477","7.765560214782526"
"20","19","1","8001","0","1164.9646664789568","100","31.29708163203587","22.036635519786714"
"21","20","1","4865","0","17.774547673159372","97","1.6380441355792226","0.8448577776841127"
"17","16","1","9987","0","91.12847030755132","100","4.764741230621052","2.6037243019463383"
"22","21","1","5438","0","21.542089588742783","100","0.8860628229509654","0.8221742340757525"
"19","18","1","7483","0","884.7701852784355","100","38.140038758055724","34.767053130371885"
"23","22","1","5843","0","964.01889464439","99","46.46814483754716","35.7571362241868"
"25","24","1","6478","0","616.481358482544","100","9.190134602610334","2.7149198723812944"
"24","23","1","30000","0","914.3062583005353","100","29.87809591861724","15.927813972159486"
"27","26","1","9487","0","410.6445702554601","100","7.711721992553307","7.270516792147395"
"28","27","1","8194","0","1136.923803048302","96","130.1546843317581","71.92247650543108"
"29","28","1","5718","0","106.35273103405432","100","6.890867228200226","2.949799111204383"
"30","29","1","4871","0","394.7868538546496","100","16.50488756072048","11.161847245765715"
"26","25","1","8699","0","248.50432750677567","100","6.932166863962298","3.1051690661104674"
"16","15","1","7495","0","728.8615908794519","100","6.80773053882435","4.473719580793728"
"31","30","1","8836","0","297.9152961365618","100","18.51142606775504","13.637430840247708"
"32","31","1","7514","0","1368.9330540224867","100","30.590316969243943","33.10507787065429"
"33","32","1","4655","0","567.691111954827","100","42.67096946102501","19.140250613918077"
"35","34","1","3885","0","373.62666380352067","100","1.5700906679364002","0.7828782218058999"
"36","35","1","4260","0","373.94203618734474","100","12.422156533880473","6.559830634881476"
"38","37","1","3288","0","262.0100518740956","100","19.807691763978656","11.027962761621456"
