"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"random spoofers"
"03/27/2019 20:28:28:876 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","1","5524","0","258.2878399428821","100","8.628393822017394","6.694417314646752"
"3","2","1","5577","0","1333.8662314734697","100","29.734702670817185","27.45656839460357"
"1","0","1","6373","0","782.5232154160346","100","45.4815903074245","37.975463234201044"
"2","1","1","9845","0","895.3819681207746","100","103.58075209665694","55.070222246727575"
"8","7","1","5805","4","296.63632197182426","100","6.756071013265075","3.9612955059119055"
"5","4","1","10004","0","930.2422140124738","73","106.45525740217745","33.82152989546526"
"11","10","1","6910","0","1031.6770222956889","100","38.58937406224721","26.496696467172885"
"12","11","1","7769","0","444.7004940589802","100","14.215613860016132","6.129867659455275"
"10","9","1","8652","4","990.4981207083126","100","22.556876808315955","12.007442528554991"
"9","8","1","7408","0","349.341726013327","69","30.952600457901436","16.11086265087019"
"15","14","1","5109","0","238.74424251596534","100","10.43707150957795","7.5263612033538285"
"18","17","1","5519","0","174.82976246871","100","19.029190471210608","8.423020289817343"
"17","16","1","13479","0","1218.3681446181783","100","7.442478198940414","3.9988152631580944"
"14","13","1","30000","2","2227.9955048593083","100","17.119012940045888","20.268981009312686"
"19","18","1","7248","0","350.6348557402105","100","19.872575024982325","13.014255072602017"
"20","19","1","7862","0","373.69733029560405","100","25.57746912105027","15.591430765781185"
"21","20","1","4868","0","53.458401511715564","97","1.551042219900758","1.4662109385283975"
"22","21","1","5443","0","37.468202680084026","100","1.2810109617088525","1.0403650350592177"
"23","22","1","5850","0","664.0012243341602","100","29.016462400275405","21.307963137258778"
"16","15","1","8372","0","1167.8844165746325","100","42.19001706238585","42.03930174629366"
"24","23","1","7017","0","434.4882101662973","100","23.134610755316206","10.81379987525387"
"26","25","1","9396","0","713.1209969985425","100","12.4788344773648","9.80362748105504"
"25","24","1","14304","0","1390.399386974708","100","47.687449869222625","32.13975788787932"
"28","27","1","8168","3","602.0418744191044","100","23.74729523244613","18.239259917233344"
"27","26","1","9397","0","389.2764919705887","100","21.77596748535707","11.45766719333949"
"29","28","1","6862","0","849.4006473209885","99","47.43897080173008","33.55977029314141"
"31","30","1","8804","3","876.8292586203847","100","20.16953307674899","18.98996358304719"
"32","31","1","7540","0","286.1446803582122","100","23.902912126090747","7.4953400096924625"
"33","32","1","4635","2","856.0055563411522","99","16.871754639385586","9.801793569454896"
"30","29","1","30000","0","410.33347988144584","74","19.1750099712425","17.330720309351324"
"34","33","1","4701","0","248.0456354011141","100","24.773935629189424","12.922127708492315"
"35","34","1","3998","0","208.06573057313216","100","5.487414926516638","4.206072362122625"
"36","35","1","4270","0","448.6614677121637","100","19.916738519705298","16.678597991439197"
"38","37","1","3290","0","436.70732609627174","100","16.63047436297564","10.249701150684116"
"37","36","1","3940","0","852.173042446051","99","25.381031818826596","17.273093266739714"
"40","39","1","3556","0","519.0269253168996","100","20.80406852116732","14.161335318046985"
"39","38","1","4808","0","1600.8397334268248","84","41.567044476501174","44.78154370369496"
"42","41","1","3910","0","721.6972038544873","100","20.516583946104063","11.842042035056037"
"43","42","1","7392","0","750.7061977739368","100","15.928354181350205","11.427264526432065"
"45","44","1","3799","0","754.492117972415","98","42.05713533092043","29.757181350408825"
"13","12","1","30000","0","2353.4190248197365","100","101.89317872507277","53.187213542041235"
"44","43","1","6955","0","621.3037537538135","100","3.346319539243458","3.3430061581378534"
"46","45","1","4553","8","245.1069607205089","100","11.834577150821168","7.736317719580132"
"41","40","1","30000","2","891.91081372109","99","42.52563662618455","23.778531642353553"
"47","46","1","3972","0","259.7794278987232","75","5.721324582665581","4.4647050527503795"
"49","48","1","3900","0","470.86714612662115","100","1.8511798916744786","1.6569122088080133"
"48","47","1","3386","0","1003.0733799393772","100","18.94708359766015","21.200026682411163"
"50","49","1","3733","2","108.65035192195597","100","8.166836606419706","3.50634920463762"
"51","50","1","4949","0","670.3261516556797","100","45.8036513128452","32.52980325164903"
"52","51","1","3926","2","391.67437096974913","100","45.82318248726993","20.7354054265032"
"53","52","1","3411","2","144.8812398775363","100","4.493634746104524","3.712384929446979"
"54","53","1","3508","0","356.7872654317101","100","11.46964186320651","5.242727266681646"
"55","54","1","3317","0","734.607970572098","100","47.375456792326204","29.3271427648631"
"56","55","1","3295","0","636.6453608851963","100","11.809801108159952","14.760752696331522"
"57","56","1","4532","0","223.62813955595627","100","14.953136097380275","5.958633834585777"
