"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"spoofer grid no nav error"
"04/15/2019 23:53:47:244 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","1","5385","0","0","100","0","0"
"1","0","1","5879","0","0","100","0","0"
"3","2","1","5514","0","0","100","0","0"
"2","1","1","8884","2","491.47242742304536","100","29.43999999999808","24.741540743934326"
"5","4","1","8487","4","210.0000000000005","56","41.99999999999903","1.1268723928733111E-12"
"8","7","1","5790","0","0","100","0","0"
"11","10","1","6506","0","0","76","0","0"
"12","11","1","7799","0","52.000000000007546","100","0.36399999999999916","1.3334484798764592"
"10","9","1","8246","0","0","100","0","0"
"9","8","1","7514","0","76.99999999999898","60","0","0"
"13","12","1","5513","0","169.9999999999997","100","0","0"
"14","13","1","8113","0","0","100","0","0"
"18","17","1","5547","0","85.7702695364329","100","0","0"
"15","14","1","5149","0","65.99999999999999","100","0","0"
"17","16","1","10006","0","47.32797794678723","100","1.8480000000000083","3.4971988791031166"
"19","18","1","7360","0","337.9999999999842","100","12.324000000000167","7.948459224302822"
"20","19","1","7848","0","0","100","0","0"
"21","20","1","4862","0","0","99","0","0"
"22","21","1","5443","0","0","100","0","0"
"23","22","1","5831","0","0","95","0","0"
"24","23","1","6988","0","42.000000000003595","100","1.638000000000009","3.3181100863977764"
"25","24","1","6682","0","223.99999999999991","100","0","0"
"16","15","1","7461","0","0","100","0","0"
"27","26","1","9403","0","0","100","0","0"
"28","27","1","8147","0","152.9999999999937","100","0","0"
"26","25","1","11138","0","1901.8663255090873","100","43.899606342189344","68.28504674487372"
"29","28","1","5824","0","156.00000000000003","100","0","0"
"30","29","1","4934","0","185.0000000000007","100","0","0"
"7","6","1","30000","0","2311.649060623765","100","8.976000000000768","12.56891403423649"
"31","30","1","8932","0","196.00000000000477","100","1.9600000000000333","3.9397482358161793"
"32","31","1","7527","0","71.95203974948345","100","0.8579999999999811","2.452835094334662"
"33","32","1","4632","0","0","99","0","0"
"35","34","1","3899","0","59.00000000000162","100","0.7080000000000006","2.816462427596117"
"6","5","1","30000","0","2011.246460428549","100","83.09600000000555","69.62540741407837"
"36","35","1","4260","0","133.9762242108217","100","1.5579999999999887","3.2330734041100126"
"34","33","1","4730","0","160.00000000000054","100","0","0"
"38","37","1","3438","0","424.0000000000158","100","2.120000000000001","4.261360336699065"
"37","36","1","4006","0","102.00000000000088","88","0","0"
"40","39","1","3491","0","432.0000000000181","100","13.536000000000255","15.015221367907992"
"39","38","1","4609","0","1344.000000000228","100","11.200000000002037","33.76927059271567"
"41","40","1","3706","0","223.35985560002268","100","3.359999999999977","6.753854118541864"
"43","42","1","4089","0","228.49867521760527","100","11.90399999999964","9.232900328978058"
"42","41","1","3905","0","258.3830602227828","100","1.2419999999999984","3.9692041794523227"
"45","44","1","3781","0","0","97","0","0"
"44","43","1","4416","0","340.9723459338937","100","1.5959999999999814","5.846658719458268"
"47","46","1","4007","0","95.9999999999978","42","0","0"
"49","48","1","3904","0","30.000000000000135","100","0","0"
