"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/19/2019 10:53:35:921 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"8","7","2157","0","520.1044494170968","0","0","0"
"2","1","2428","0","1226.1063559182826","80","162.6481309434343","55.3730142015968"
"5","4","4352","0","3100.5544940087707","0","0","0"
"3","2","3403","2","309.9722935742183","0","0","0"
"4","3","2706","0","1704.0024474060192","139","77.38520886588068","103.1688127567692"
"6","5","35000","0","2563.0712388749857","0","0","0"
"7","6","2219","0","251.77318967782216","41","39.43772685765645","2.8541388459670243"
"1","0","35000","0","4211.581393760437","163","101.27853238926697","73.6381460521861"
"9","8","2792","0","386.87928812954806","144","54.63963094476175","22.481876170553466"
"15","14","35000","2","2018.9689256739255","0","0","0"
"11","10","5562","0","1162.6103468772503","62","50.73433524323748","37.618371562088186"
"10","9","10465","0","991.5705385276008","155","57.26423436343391","42.13635801983557"
"13","12","4702","0","1008.1957385816214","0","0","0"
"12","11","2455","1","2217.8024604763896","0","0","0"
"16","15","2398","0","155.2053683233697","22","25.27341791177022","2.378513813348832"
"14","13","10168","0","19.7446384205247","0","0","0"
"17","16","4962","2","1501.433818374792","141","152.04463138892356","85.38578873609437"
"18","17","2623","0","441.1723748272778","200","35.75195172163788","27.763280756176467"
"20","19","3320","0","948.9869023134831","200","75.55698520329753","44.17447706130028"
"19","18","2424","1","743.9779030599823","13","49.5750646971536","9.873095146345086"
"23","22","2615","0","1333.4321201950306","132","89.60807993691054","42.69882388929219"
"24","23","5762","0","1513.2235004968472","7","49.942827182628186","10.767443687213717"
"22","21","4746","0","99.68609112576276","0","0","0"
"25","24","4628","0","242.46462528131957","0","0","0"
"26","25","2970","0","439.19816491642956","200","9.965951414597592","10.11821973028522"
"27","26","3275","0","2398.8496192288594","0","0","0"
"21","20","8999","0","592.3064184343544","200","22.07421968611094","20.662996351339487"
"28","27","2330","0","1891.9290713503435","80","206.7673109026212","99.60114907169189"
"29","28","4796","0","826.5721080769699","0","0","0"
"30","29","3955","0","2093.427235830799","0","0","0"
"31","30","7051","0","3439.009100424551","0","0","0"
"32","31","7714","0","852.3631858055172","116","48.81651349987906","54.113060348069254"
"33","32","2185","1","1139.2732891177452","0","0","0"
"35","34","2486","0","2993.8823584292395","0","0","0"
"36","35","3351","0","684.1607765941128","171","22.92756679850965","17.441147645025612"
"38","37","3214","0","484.0506277880518","0","0","0"
"37","36","3693","0","472.71168839094867","0","0","0"
"34","33","35000","0","2692.3458824161094","89","72.37646204215622","89.59912720878975"
"39","38","10944","0","3697.4559469023025","2","229.32137108216233","243.2308780074918"
"46","45","35000","0","0","0","0","0"
"40","39","2154","0","2537.636107390937","147","103.2712094207292","122.31681291636609"
"42","41","8794","0","2467.7419510337822","84","111.03010941793524","88.96821883988072"
"41","40","35000","0","1363.582152708138","187","47.704577829804606","29.69107526268458"
"45","44","3246","0","115.68307426551449","0","0","0"
"44","43","4663","2","610.7567461501784","0","0","0"
"47","46","6099","0","1402.1629805625353","53","45.17174359908094","28.72781414997123"
"49","48","3894","0","1639.6765276038054","88","96.05004583985541","73.60199482574156"
"48","47","7267","4","579.2235172598035","0","0","0"
"50","49","2349","0","172.19990886604717","28","20.03630739863308","1.1921542805922478"
"51","50","2926","0","2167.4430275267673","0","0","0"
"52","51","2167","0","214.04654911648677","2","30.731281613821007","0"
"54","53","2777","0","1224.2797057777916","29","148.20019820949307","17.72511122071907"
"53","52","18222","0","5054.6304888718705","118","68.2848568958862","43.01899957819558"
"55","54","9295","0","209.45264494074965","0","0","0"
"57","56","4459","0","881.2734614171933","0","0","0"
"58","57","5060","3","1545.954695672128","0","0","0"
"59","58","2336","0","269.2906905239342","112","14.240791222807513","15.514837894589817"
"60","59","3037","0","130.1634793950579","200","8.41256555477025","6.003220316850489"
"61","60","4564","2","743.5022259174989","0","0","0"
"62","61","35000","2","5422.43880642431","0","0","0"
"56","55","7796","0","2925.9860594126694","111","141.41550160820287","95.24008789509982"
"64","63","2979","0","2319.3582733482313","0","0","0"
"63","62","6492","0","320.73489046677474","200","7.192302489148351","3.2292045441732666"
"65","64","4918","0","864.2368916771903","0","0","0"
"66","65","2293","2","2867.516854432667","2","51.467031965126","9.930183894403973"
"67","66","3724","0","1181.9839181635778","180","115.63178327545356","63.75881467338682"
"68","67","2528","0","103.80457627934966","0","0","0"
"71","70","3475","0","1457.7870545864791","105","50.39642857369816","42.60621309695149"
"70","69","7428","0","2300.2040951779754","134","145.40565249181805","82.25699747283772"
"73","72","3575","0","1719.789733898698","0","0","0"
"74","73","4108","0","1550.8064551215464","14","232.1388290036518","3.5219927052381563"
"72","71","35000","0","2507.996041491674","103","57.44543298498706","36.14111638738004"
"75","74","2105","0","727.3750398688571","200","7.736779795735873","4.053981352946837"
"76","75","3968","0","807.5501400725782","154","49.10121437410022","40.65725159055014"
"77","76","4977","0","406.10032512022497","180","14.690247613761992","20.505381265892105"
"78","77","2327","0","161.83308860202683","200","13.01720588347903","8.154296218042061"
"43","42","35000","0","4438.774888924632","103","88.18620975927145","55.79138057532593"
"79","78","3587","0","1054.0861611539938","0","0","0"
"80","79","2638","0","2954.5387274677996","0","0","0"
"69","68","9601","0","745.3349728619287","0","0","0"
"81","80","14389","0","4967.635162857513","0","0","0"
"82","81","4099","0","1522.6871941657037","3","232.89522466567928","19.4786605062821"
"83","82","3036","0","243.0572981553641","71","24.626747469409157","9.213234699417345"
"84","83","2615","0","1123.128075899275","0","0","0"
"86","85","8591","0","2408.841936057636","2","410.16234977919794","1.3308252850168054"
"87","86","7351","7","840.1856769231682","63","46.6839008777185","21.779020151310267"
"88","87","2731","0","253.85269638075073","146","23.60965965761515","10.071000637529155"
"89","88","2292","0","249.7335150653065","81","24.169892334072536","12.035027948630447"
"90","89","6390","0","1005.8425028015715","20","94.56092587324187","40.94642670315519"
"91","90","2653","0","388.8271637730784","198","42.63654472168465","19.90294743709017"
"92","91","3372","0","1716.5775716394487","3","144.4730865128867","1.2407357851372862"
"93","92","2602","0","935.4108207626631","193","76.94314569408209","47.78264750403088"
"94","93","2413","0","4463.964293987581","0","0","0"
"95","94","2859","2","257.6367227141313","0","0","0"
"96","95","3433","0","527.8061563361157","190","60.677695751276595","23.370548799988132"
"97","96","8578","0","1862.6760194931182","0","0","0"
"99","98","2875","0","543.4222078204979","1","0","0"
"98","97","5550","1","965.8804368513729","174","44.35003331460592","44.661385047417525"
"102","101","2238","1","297.1372623700312","0","0","0"
"100","99","4767","0","1264.9877661436535","187","105.22818158190442","56.19729412482817"
"103","102","4417","2","2787.512685573283","0","0","0"
"104","103","2374","0","1513.68985330333","3","67.42605525727681","12.330132352564462"
"105","104","2728","0","1406.5066361235445","84","21.507499976753074","22.148600884533284"
"101","100","7212","0","1440.2073987092244","173","47.0597771603616","57.24797300696771"
"106","105","2118","0","364.0574518606313","79","46.77672998597468","12.259257699118523"
"110","109","35000","0","1977.7809147292292","125","73.26076425158688","53.18944654982036"
"108","107","6764","0","1839.7299593641474","0","0","0"
"107","106","2603","0","2452.2431664104083","18","346.60615861287","187.66698424410782"
"112","111","4446","0","1203.6747028926973","0","0","0"
"85","84","35000","0","2445.9304806585724","0","0","0"
"111","110","35000","0","3917.937385109745","0","0","0"
"113","112","5279","0","42.349547555180145","198","3.6713978593320653","2.025418860850537"
"114","113","7652","0","523.1578561370508","0","0","0"
"116","115","3002","0","1368.322469530308","6","53.38190933369787","7.622173438888407"
"115","114","20054","0","3047.1687741543947","37","74.68736012153236","34.60807936649831"
"119","118","2782","0","826.1827858404184","0","0","0"
"118","117","3367","0","102.3703089634081","200","8.87729939349398","5.503879238413489"
"120","119","35000","0","234.72464610030687","115","6.112659760490539","5.888078461477529"
"117","116","5622","1","1471.3926972285585","0","0","0"
"121","120","2282","0","3407.5048933131275","0","0","0"
"122","121","4398","0","1300.0565218376207","0","0","0"
"123","122","35000","0","5586.760636184719","2","111.57726841492284","83.33701773629781"
"125","124","3407","0","2047.4374981480373","0","0","0"
"126","125","4026","2","469.99837859433364","0","0","0"
"124","123","5074","0","83.09268197517837","200","6.0984953871636085","3.753195286787866"
"129","128","7020","0","175.67475027960427","193","12.517230387029414","5.649130350038161"
"128","127","3960","0","392.94052292360783","0","0","0"
"127","126","2694","0","772.2401058340831","123","19.28376427861606","13.142936912164735"
"130","129","3071","0","1600.6651143649458","36","19.57285288935213","24.687617454192154"
"131","130","2630","1","708.3379894158793","182","49.6560077027851","34.50469183739805"
"135","134","35000","0","2019.885427383407","0","0","0"
"132","131","4323","0","832.6133422540554","198","115.1083986914954","49.288082278926076"
"134","133","2754","0","524.9019353071311","7","48.13690041999187","8.177453229932572"
"133","132","4276","0","1058.3240681114842","33","61.255181808973454","14.727519109121404"
"136","135","9683","0","2392.9402630833333","199","37.16857372811283","19.59631728910751"
"137","136","2171","0","505.63905525905386","200","20.110906571499093","17.69634762325562"
"138","137","2415","0","1490.7893704109485","67","97.99110380019442","52.09098416544413"
"109","108","35000","0","3737.42523561446","0","0","0"
"139","138","2747","0","1573.790683350227","179","47.30496376313312","50.486323772687726"
"140","139","35000","0","4719.043131281694","0","0","0"
"141","140","2748","0","574.5885188994451","0","0","0"
"142","141","6059","0","1265.4530263318318","24","63.613785162458726","19.551512144831122"
"143","142","3116","0","1263.095686122919","178","113.19363648776151","68.76615628909687"
"144","143","2718","0","1296.6083427208014","19","11.426423392839434","2.7012364726520848"
"146","145","2592","0","1254.1953530923474","112","40.479510610376074","33.37217231589611"
"145","144","7380","0","2998.48342395419","173","119.01657396551036","75.20320476547938"
"147","146","3459","0","906.4007678888976","128","59.949172555300436","38.26814092795023"
"148","147","4292","5","847.7196181052816","0","0","0"
"150","149","2183","0","311.5580283471785","180","24.059139527023095","14.36994787584417"
"151","150","2255","0","1287.0365897462566","98","76.89987134010755","48.84290498906534"
"152","151","2678","0","1342.3479228213146","0","0","0"
