"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"2","1","20000","-20","-20","0","0","0","0","0","0","[0]"
"8","7","2119","-3.119","-3.119","0","1","243.09177727117432","0","0","0","[28.002623515340463]"
"5","4","5862","-5.862","-5.862","0","0","1719.857386471745","0","0","0","[336.1276999352]"
"1","0","18690","-15.965000000000002","-47.197090624625154","0.545","0","5526.2761269184875","109","174.9940860227126","137.32682022353887","[249.5958764405126]"
"3","2","3398","-3.398","-3.398","0","0","303.42213349519875","0","0","0","[8.84705211947127]"
"7","6","2209","-2.209","-2.209","0","0","58.35559976032452","0","0","0","[11.61709497193464]"
"6","5","20000","-20","-20","0","0","5081.673656100983","0","0","0","[1016.3347312201965]"
"9","8","20000","-16.825","-30.724710394468648","0.635","0","2502.0471358611867","127","86.05484313540363","52.94226080928286","[495.51025300288177]"
"4","3","20000","-16.325","-22.596703947930283","0.735","0","1806.9501964638803","147","17.11476718730253","45.60227229200029","[322.3769857178778]"
"10","9","10386","-6.260999999999999","-16.38063901309509","0.825","0","1049.1997981539305","165","55.14655150922922","46.04983862172168","[209.8399596307861]"
"11","10","20000","-18","-28.95925142051526","0.4","0","1868.2250248617381","80","54.80098937445674","54.791524830695835","[363.59804010860375]"
"12","11","20000","-20","-20","0","0","1980.7079444980457","0","0","0","[395.3738395580761]"
"13","12","4701","-4.701","-4.701","0","0","471.658729296359","0","0","0","[43.50886746679181]"
"15","14","6322","-6.322","-6.322","0","0","2893.8099423434824","0","0","0","[578.7619884686965]"
"14","13","10162","-10.162","-10.162","0","0","13.130403823321403","0","0","0","[2.158173561412878]"
"16","15","2396","-2.396","-2.396","0","0","59.78820013381615","0","0","0","[11.95764002676323]"
"17","16","4926","-0.6509999999999998","-2.9942025072555176","0.855","0","536.6663417509752","171","12.032585478597662","11.399439593957506","[107.33326835019504]"
"18","17","2658","2.342","-2.4177866072808922","1","0","1138.437016893071","200","20.438312735333746","27.159553337475174","[227.6874033786142]"
"20","19","2447","2.553","-0.5376969903247213","1","0","1584.763694443663","200","17.042084817084337","13.864885086162865","[316.9527388887326]"
"19","18","2449","-2.049","-8.531992880950328","0.08","0","1312.4104677773157","16","54.102263933059504","10.72766487644378","[262.48209355546317]"
"23","22","5788","-3.7880000000000003","-44.13537685879588","0.4","0","2302.8867335235277","80","239.32565932923868","164.14810925872015","[256.3621485935382]"
