"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 nolh"
"01/19/2019 22:09:12:449 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"8","7","35000","0","3714.748302760024","3","230.32367966239107","100.19138783551156"
"2","1","35000","0","4501.675776799328","0","0","0"
"5","4","35000","0","2013.5491931046263","131","71.76251911558587","61.72059871015935"
"3","2","2556","0","9.28560681756835","148","0.7132578455708698","0.36634997161583194"
"1","0","3781","2","2101.897838235669","0","0","0"
"7","6","2119","0","2993.4206061179348","0","0","0"
"4","3","2297","0","881.2913952465577","170","36.61413265974313","16.104521175164944"
"6","5","30534","0","5150.978838978791","21","83.1019699428615","32.37446843989156"
"9","8","8889","0","1631.8314804870092","0","0","0"
"11","10","2194","0","2012.4246143735904","117","126.99190961082685","61.120092320490215"
"12","11","2111","0","269.14865846838444","180","22.69890401953439","13.24489938691835"
"10","9","35000","0","2403.0365737429734","44","346.43291562112205","109.10282615205786"
"14","13","9182","0","4316.876985631183","89","123.6619117193861","63.20241657106883"
"16","15","7648","0","3549.739127045902","0","0","0"
"13","12","5137","0","2391.119446904967","109","278.8891167983817","181.3924564635424"
"15","14","4004","0","2782.079328535142","0","0","0"
"17","16","6096","0","1464.2586008362457","12","221.80472968562117","0.3339635592075378"
"18","17","4309","0","1454.6810910760782","22","111.93613188340578","54.48815455550527"
"19","18","2652","0","1490.4078367233353","150","38.34099482237514","35.9667085182818"
"20","19","2155","0","523.3299923408235","51","47.050594505024115","37.18541344278917"
"22","21","5046","0","2549.4516584336516","44","162.45365429655828","206.80082284874356"
"21","20","13207","0","2894.608697535693","124","69.98163524761817","53.62588927071337"
"23","22","2747","0","3356.3323282077517","0","0","0"
"24","23","3009","0","1952.0623465140625","2","41.40892232420764","0.41459316039203553"
"26","25","35000","0","2542.0413796476323","2","60.80191677270193","10.166102435182218"
"25","24","5390","0","2588.498694013667","10","344.9468437538186","18.83177650487873"
"27","26","2803","1","1294.8829436966755","62","82.73487951662625","65.16173104487179"
"28","27","2195","0","882.2012885484901","66","89.5366447265384","36.11030978967022"
"30","29","35000","0","3732.769961344252","12","114.55622294314304","73.90048293694348"
"32","31","11613","0","2836.317225626929","0","0","0"
"33","32","4471","0","2008.2605379042761","0","0","0"
"31","30","5571","2","3207.9049578526997","0","0","0"
"34","33","3524","0","537.4404827250141","0","0","0"
"29","28","3865","0","3132.2978620919907","64","297.6740075480353","134.96820406039322"
"35","34","2207","0","408.0848549370933","147","12.395466448003145","16.47909445580075"
"37","36","35000","0","2397.3121305537406","28","116.47187751352078","61.64629006726967"
"36","35","2357","0","699.5213951467142","192","65.802606917515","38.019689712882155"
"38","37","9312","0","2452.388605368606","169","43.04480710519306","35.23082795134377"
"39","38","2210","0","2374.802874238735","4","209.49090496731267","31.98302006034305"
"41","40","3486","0","283.40729777366124","0","0","0"
"40","39","35000","0","5017.256932037934","0","0","0"
"43","42","2825","0","331.8047230374111","39","16.68144999661327","11.95943625349524"
"44","43","2466","0","491.457756855236","199","38.34132900308617","22.052085442824524"
"45","44","8987","0","2407.4463489952905","93","144.37660564185413","113.26894662015879"
"46","45","3882","0","996.9893346812751","187","112.92892356807015","55.20004023865218"
"48","47","2336","0","1987.7653504342975","11","68.79585080096481","55.060478728187334"
"47","46","35000","0","4611.459236449738","0","0","0"
"49","48","3978","0","675.5022599576091","0","0","0"
"50","49","7762","0","1201.267568526338","58","75.58909843247466","46.190568738712365"
"51","50","3354","0","1346.460813691206","103","30.58678405858063","30.881167644414845"
"52","51","2417","1","224.1607890129253","177","17.364977326795923","11.92707880415723"
"53","52","6905","0","3028.391676638059","51","309.70349059739874","65.71543211001523"
"56","55","2348","0","4045.3534678446345","0","0","0"
"55","54","2880","0","1310.7726530248005","0","0","0"
"54","53","29542","0","4546.734161177121","18","368.2585547408742","372.2018913509451"
"57","56","7410","0","2018.045254925682","13","53.73052787951625","28.935264530481383"
"58","57","3992","2","224.31728418481384","11","25.0015922174194","3.9795088724772167"
"59","58","35000","0","3078.519455204592","26","88.26194920846271","43.20456208491348"
"42","41","35000","0","3523.795447225797","0","0","0"
"60","59","2883","0","2221.8518928650496","126","250.6835667312243","205.50199408189386"
"61","60","5645","0","3418.1797788567137","44","147.21597229914204","66.70428804275866"
"62","61","7531","0","2869.173162345238","37","450.84572462242187","212.90882805427125"
"63","62","11090","0","2600.5866841201723","0","0","0"
"65","64","3490","0","3626.0300927086964","52","124.54542147703137","60.29419362666956"
"66","65","35000","0","3399.6912195831824","0","0","0"
"64","63","35000","0","4288.326964235171","0","0","0"
"67","66","2832","0","2679.270369343818","154","99.93626846734192","64.00711059533165"
"69","68","11477","0","4686.582679725454","0","0","0"
"75","74","35000","0","0","0","0","0"
"68","67","12934","1","3176.624871808512","66","107.7937267905994","64.79406973047547"
"71","70","3225","1","1193.3207590719846","0","0","0"
"70","69","35000","0","2747.967230415068","0","0","0"
"73","72","4753","0","435.14060640735835","135","25.48615603031303","19.013211520176736"
"74","73","13750","0","5010.657947314983","54","345.62428973033684","347.40641019671915"
"77","76","35000","0","4316.91910201173","0","0","0"
"72","71","35000","0","1444.8636390304332","65","135.87315884100605","55.6052566753324"
"76","75","35000","0","3409.130518395834","0","0","0"
"78","77","2599","0","79.53046061545125","0","0","0"
"82","81","35000","0","3243.5802481106102","88","97.43895954737978","69.32445443122154"
"80","79","3555","0","59.533114896929845","191","3.5372424339164055","2.70034806335166"
"79","78","2513","0","215.73195036153004","0","0","0"
"83","82","3502","0","2956.659670712859","93","160.5408671049459","192.6505332893604"
"84","83","17655","0","3817.4716579976734","0","0","0"
"85","84","13825","0","3042.108869150258","0","0","0"
"81","80","5168","0","43.815974115410526","200","3.5219991046601713","1.8715502967620508"
"86","85","2493","0","671.6812957943107","0","0","0"
"87","86","2669","0","704.213818535987","0","0","0"
"88","87","4887","0","2448.1244376840227","24","71.18829316293595","35.78279243611206"
"89","88","4093","0","80.69098962975323","200","7.163019850744778","4.081860447631165"
"90","89","2587","0","1345.5073802139286","100","107.21482249128076","52.21382420243878"
"91","90","2174","0","813.0706173485947","97","88.33574897271751","57.44569263577773"
"92","91","4822","0","1010.3902084226183","49","42.22612126607644","18.992012522764377"
"93","92","8781","0","3270.342167800632","0","0","0"
"94","93","3267","0","693.6057208677271","0","0","0"
"96","95","5012","0","2860.0065405687465","59","111.3884587128555","46.51653295398663"
"95","94","3262","0","62.41807064512202","0","0","0"
"97","96","4192","0","621.4206422053447","196","20.335147177986826","13.77925972151"
"98","97","2931","0","3605.428029091315","85","38.47108362197076","29.9117537758391"
"99","98","5749","0","2169.084982049779","188","56.58160786321269","57.42176007822222"
"101","100","19967","0","5026.8286397665615","0","0","0"
"102","101","2804","0","536.7967541093022","0","0","0"
"103","102","2439","0","3063.5120957158956","0","0","0"
"104","103","8479","0","510.8011360487097","170","15.308462473982704","16.78605150884121"
"100","99","28184","0","4885.3242426780635","0","0","0"
"106","105","3440","0","3859.8875164817455","34","257.8252450877858","358.1491045025813"
"107","106","3076","0","1844.196205827807","40","94.3232760462204","42.26321879609534"
"112","111","35000","0","3198.6787083236372","187","113.38825044272147","68.84157248134215"
"108","107","35000","0","1948.4862159133197","9","104.07390112812095","53.92428473762693"
"109","108","8630","0","3727.3182843129052","0","0","0"
"110","109","2166","0","728.2854716291477","0","0","0"
"111","110","3233","0","3260.8475344057165","1","0","0"
"113","112","35000","0","1929.2262038415392","23","73.3174544152776","63.459300767037334"
"105","104","6290","0","810.7241384775807","145","17.505224367355762","7.054699401480069"
"114","113","5646","2","2398.510298888284","66","200.86538998639546","164.24942670874188"
"115","114","2319","1","1578.1651265804933","85","59.02122659837189","60.44552862353882"
"116","115","3630","0","1448.2692084517785","0","0","0"
"119","118","2690","0","356.9720362769318","51","38.861565208216575","18.564529839719036"
"117","116","16544","0","3977.196024023814","0","0","0"
"118","117","2498","0","1518.5883736598591","0","0","0"
"120","119","4614","0","2481.4378174905487","138","136.6056323484205","77.88206231996169"
"121","120","6749","0","2176.008950197083","80","81.95651471290871","42.52605699931894"
"122","121","35000","0","4033.0050664675696","129","247.88298309173115","162.0363668814501"
"124","123","6376","0","1071.6030518599134","0","0","0"
"123","122","35000","0","3160.4177711877564","25","260.5383582291131","175.29176623096714"
"126","125","2824","0","247.46849257361131","0","0","0"
"127","126","2275","2","1522.5455942452495","0","0","0"
"125","124","16569","3","3689.201140395222","0","0","0"
"129","128","35000","0","3204.6695757254347","10","15.112112150858522","7.299610801942353"
"128","127","3907","0","737.8355764348977","193","65.93549129940689","46.95005188083119"
"130","0","3788","0","3125.8880737542077","0","0","0"
"132","2","2558","0","4.731306058448649","132","0.3533469771886996","0.20228403238644962"
"134","4","4281","0","2033.510446240262","117","113.78097861633061","74.38308301325303"
"131","1","35000","0","4503.648357899288","0","0","0"
"133","3","2312","0","1042.732117574583","140","33.7217137169722","23.646928789136425"
"136","6","2171","0","1337.5947897258109","0","0","0"
"135","5","25939","0","3670.1914360124347","17","95.33708344360609","92.25097483550883"
"137","7","10273","0","3058.9939178162654","1","0","0"
"138","8","8886","4","1393.6044312540114","0","0","0"
"140","10","35000","0","2171.0535924192973","18","34.93486589677053","18.132459450847282"
"139","9","7923","0","684.8627591015014","103","59.572120392831096","25.14189616046369"
"141","11","2097","0","77.5159631731305","199","11.617916630396811","4.003001199502851"
"143","13","13017","0","3304.697502992262","53","234.8970923800696","160.15050470244236"
"145","15","4688","0","1583.6082637639201","0","0","0"
"144","14","3437","0","2693.557146461647","0","0","0"
"146","16","6110","3","1271.7767005133803","10","53.11887844091335","9.391790533108603"
"148","18","2631","0","752.3330518948082","184","74.08465781248758","36.157472211200094"
"142","12","33522","3","4638.822669352264","45","113.08529824742385","57.071728393071474"
"149","19","2150","0","1257.6640414570184","32","64.88299898143936","37.173348546179305"
"147","17","4306","0","407.3860407722236","65","45.742019356775465","14.12177151859934"
"150","20","14364","0","3790.622138541642","57","179.14119852842796","250.09562285139737"
"151","21","12395","0","3168.9994177323156","37","413.0878557761771","266.01832654124627"
"152","22","6635","0","2765.4831457865107","0","0","0"
"153","23","35000","0","3966.4301554663825","0","0","0"
"155","25","35000","0","3576.6021405316656","2","105.43305856688377","66.4202377319299"
"154","24","5411","0","1516.5180890232346","43","73.61255594598914","41.63813748965759"
"156","26","2742","0","287.358291261139","97","19.433950938416984","5.003459173745599"
"157","27","2212","0","1607.9095729282858","33","269.951364243829","11.844270929713378"
"159","29","16273","0","2669.599713886034","122","100.26660058146021","119.01050584306742"
"158","28","3736","0","3011.3058854664228","49","282.62688559122114","291.69490760461053"
"160","30","2712","0","1021.407182701293","0","0","0"
"161","31","2964","0","3533.5299026987277","0","0","0"
"162","32","4387","0","1260.7269912971365","0","0","0"
"164","34","2212","0","172.776894924077","181","13.622947268913927","8.427464317337488"
"163","33","3542","2","597.4173033323174","0","0","0"
"165","35","2338","0","303.3806412489681","188","14.758041849628405","10.945033465230932"
"166","36","35000","0","3498.4576670900465","75","80.59310264971833","49.25834731351466"
"168","38","2276","0","3239.2794151935605","16","79.79567942527184","28.906492567564978"
"169","39","2414","0","2151.139915816405","1","0","0"
"170","40","3492","2","143.75068447319632","0","0","0"
"167","37","35000","0","2900.4447422532253","197","96.54887119619087","51.876576928368955"
"172","42","2829","0","449.0471501362044","40","24.72630265936365","12.778010999914189"
"173","43","2444","0","332.3062491548574","200","13.802782997505041","15.303270515664229"
"171","41","4154","0","1477.6978241883298","0","0","0"
"175","45","35000","0","4306.570917298981","136","482.32966237174367","258.52867515782316"
"174","44","8987","0","863.6190537385064","133","32.42949210087168","19.83422588443437"
"176","46","2601","0","1111.0314458994465","1","0","0"
"178","48","3967","3","1733.0703326237392","0","0","0"
"177","47","35000","2","2870.607124006611","5","181.9621755561587","142.98081579976207"
"179","49","7758","0","2242.5282354308083","11","61.39836813636744","12.630837598422046"
"180","50","3345","0","1190.8740883711218","119","14.395995466063832","20.53527896781686"
"183","53","35000","0","4399.532171031488","2","26.94800073630398","3.1497108075382134"
"181","51","2426","0","590.0004618245055","154","30.578398632714322","23.713952452721895"
"182","52","5980","0","2626.094098928249","60","90.27355930877142","34.24932104828756"
"184","54","2853","0","1637.4754964216872","0","0","0"
"186","56","7414","0","2462.387975699562","2","414.6687349545899","5.94233620384427"
"185","55","33510","0","3526.3474081999834","6","37.95849778105148","17.900249458312025"
"187","57","3999","0","378.1233521197854","71","42.9592974446823","12.866614022117574"
"188","58","2579","0","2030.204992451294","39","294.6644098865869","140.06407468796854"
"189","59","2870","0","709.4780726631166","200","69.57104400955764","40.412665436743104"
"190","60","13155","0","3433.3202983738233","65","325.59364184156306","203.69309371367413"
"191","61","35000","0","4729.43386351725","107","258.4955221928969","200.46845719196838"
"192","62","15419","0","4387.338758872617","0","0","0"
"194","64","3497","0","2190.381778208467","4","1.279842028777789","0.7121475329705154"
"195","65","8875","0","2662.922310806285","43","61.34407570750344","36.21666465645502"
"196","66","2873","0","1430.7793077696597","115","83.70498386578659","46.427051558147554"
"193","63","22242","0","2991.8410476183853","0","0","0"
"197","67","14406","0","2501.16844928822","23","304.560422933152","16.121783055105933"
"198","68","7232","0","3089.0109216621513","0","0","0"
"204","74","35000","0","0","0","0","0"
"199","69","3031","0","663.6611127079248","0","0","0"
"200","70","3214","0","2126.1866173965823","0","0","0"
